****************** Hamming Weight = 23 ******************
Iteration 3: NoMOD % = 22.42%
Iteration 4: NoMOD % = 22.45%
Iteration 5: NoMOD % = 22.46%
Iteration 6: NoMOD % = 22.45%
Iteration 7: NoMOD % = 22.47%
Iteration 8: NoMOD % = 22.44%
Iteration 9: NoMOD % = 22.42%
Iteration 10: NoMOD % = 22.46%
Average NoMOD % for HW=36: 22.45%



****************** Hamming Weight = 37 ******************
Iteration 1: NoMOD % = 22.19%
Iteration 2: NoMOD % = 22.17%
Iteration 3: NoMOD % = 22.12%
Iteration 4: NoMOD % = 22.15%
Iteration 5: NoMOD % = 22.16%
Iteration 6: NoMOD % = 22.15%
Iteration 7: NoMOD % = 22.18%
Iteration 8: NoMOD % = 22.14%
Iteration 9: NoMOD % = 22.17%
Iteration 10: NoMOD % = 22.18%
Average NoMOD % for HW=37: 22.16%



****************** Hamming Weight = 38 ******************
Iteration 1: NoMOD % = 21.90%
Iteration 2: NoMOD % = 21.89%
Iteration 3: NoMOD % = 21.87%
Iteration 4: NoMOD % = 21.88%
Iteration 5: NoMOD % = 21.92%
Iteration 6: NoMOD % = 21.88%
Iteration 7: NoMOD % = 21.87%
Iteration 8: NoMOD % = 21.90%
Iteration 9: NoMOD % = 21.90%
Iteration 10: NoMOD % = 21.86%
Average NoMOD % for HW=38: 21.89%



****************** Hamming Weight = 39 ******************
Iteration 1: NoMOD % = 21.64%
Iteration 2: NoMOD % = 21.64%
Iteration 3: NoMOD % = 21.65%
Iteration 4: NoMOD % = 21.59%
Iteration 5: NoMOD % = 21.61%
Iteration 6: NoMOD % = 21.60%
Iteration 7: NoMOD % = 21.62%
Iteration 8: NoMOD % = 21.66%
Iteration 9: NoMOD % = 21.60%
Iteration 10: NoMOD % = 21.63%
Average NoMOD % for HW=39: 21.62%



****************** Hamming Weight = 40 ******************
Iteration 1: NoMOD % = 21.37%
Iteration 2: NoMOD % = 21.36%
Iteration 3: NoMOD % = 21.38%
Iteration 4: NoMOD % = 21.36%
Iteration 5: NoMOD % = 21.37%
Iteration 6: NoMOD % = 21.35%
Iteration 7: NoMOD % = 21.34%
Iteration 8: NoMOD % = 21.35%
Iteration 9: NoMOD % = 21.37%
Iteration 10: NoMOD % = 21.36%
Average NoMOD % for HW=40: 21.36%



