HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220          234257           62.68           70.17            7.49
  4         3999220          312516           57.07           62.48            5.41
  5         3999220          390724           52.75           56.84            4.09
  6         3999220          468563           49.29           52.63            3.34
  7         3999220          546828           46.41           49.08            2.67
  8         3999220          624646           44.01           46.21            2.21
  9         3999220          702835           41.92           43.80            1.88
 10         3999220          781270           40.13           41.71            1.58
 11         3999220          859608           38.53           39.79            1.27
 12         3999220          937328           37.12           38.21            1.09
 13         3999220         1014837           35.84           36.81            0.97
 14         3999220         1092854           34.68           35.50            0.82
 15         3999220         1169760           33.65           34.42            0.76
 16         3999220         1246604           32.69           33.35            0.66
 17         3999220         1321209           31.81           32.37            0.56
 18         3999220         1395077           31.01           31.46            0.45
 19         3999220         1466562           30.25           30.70            0.44
 20         3999220         1534776           29.54           29.92            0.38
 21         3999220         1601346           28.91           29.21            0.31
 22         3999220         1665045           28.29           28.55            0.26
 23         3999220         1725292           27.71           27.97            0.25
 24         3999220         1782610           27.17           27.38            0.21
 25         3999220         1837589           26.66           26.84            0.18
 26         3999220         1889244           26.19           26.36            0.17
 27         3999220         1937792           25.73           25.88            0.15
 28         3999220         1983500           25.29           25.44            0.15
 29         3999220         2026784           24.87           24.99            0.13
 30         3999220         2067702           24.47           24.62            0.15
 31         3999220         2106480           24.11           24.20            0.08
 32         3999220         2142672           23.74           23.86            0.11
 33         3999220         2176200           23.41           23.53            0.12
 34         3999220         2208094           23.09           23.14            0.05
 35         3999220         2238540           22.76           22.85            0.09
 36         3999220         2266433           22.46           22.53            0.07
 37         3999220         2293195           22.16           22.20            0.04
 38         3999220         2318496           21.89           21.99            0.10
 39         3999220         2342615           21.63           21.68            0.05
 40         3999220         2365069           21.35           21.39            0.04
