HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220            2346           62.68           69.57            6.89
  4         3999220            3133           57.07           62.57            5.50
  5         3999220            3903           52.75           56.88            4.13
  6         3999220            4688           49.29           52.47            3.19
  7         3999220            5484           46.41           48.70            2.29
  8         3999220            6235           44.01           46.60            2.59
  9         3999220            7017           41.92           43.78            1.86
 10         3999220            7806           40.13           41.59            1.47
 11         3999220            8569           38.53           39.86            1.34
 12         3999220            9347           37.12           38.46            1.34
 13         3999220           10142           35.84           36.98            1.15
 14         3999220           10970           34.68           35.37            0.69
 15         3999220           11666           33.65           34.35            0.70
 16         3999220           12470           32.69           33.59            0.89
 17         3999220           13273           31.81           32.48            0.67
 18         3999220           14048           31.01           31.48            0.46
 19         3999220           14792           30.25           30.85            0.60
 20         3999220           15536           29.54           29.91            0.36
 21         3999220           16327           28.91           29.38            0.47
 22         3999220           16973           28.29           28.85            0.57
 23         3999220           17704           27.71           28.06            0.35
 24         3999220           18362           27.17           27.49            0.32
 25         3999220           18973           26.66           26.94            0.29
 26         3999220           19568           26.19           26.33            0.14
 27         3999220           20350           25.73           25.97            0.24
 28         3999220           20926           25.29           25.61            0.32
 29         3999220           21381           24.87           25.16            0.29
 30         3999220           21996           24.47           24.56            0.09
 31         3999220           22433           24.11           24.19            0.07
 32         3999220           22921           23.74           23.90            0.16
 33         3999220           23385           23.41           23.61            0.20
 34         3999220           23755           23.09           23.21            0.12
 35         3999220           24288           22.76           22.96            0.20
 36         3999220           24603           22.46           22.62            0.16
 37         3999220           25050           22.16           22.14           -0.02
 38         3999220           25340           21.89           22.11            0.22
 39         3999220           25684           21.63           21.65            0.02
 40         3999220           26036           21.35           21.44            0.09
