HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220          117164           62.68           70.14            7.46
  4         3999220          156164           57.07           62.50            5.43
  5         3999220          195268           52.75           56.85            4.10
  6         3999220          234396           49.29           52.62            3.33
  7         3999220          273284           46.41           49.13            2.72
  8         3999220          312384           44.01           46.26            2.25
  9         3999220          351547           41.92           43.85            1.93
 10         3999220          390643           40.13           41.78            1.65
 11         3999220          429663           38.53           39.84            1.31
 12         3999220          468694           37.12           38.28            1.16
 13         3999220          507435           35.84           36.89            1.05
 14         3999220          546799           34.68           35.58            0.90
 15         3999220          585318           33.65           34.47            0.82
 16         3999220          624331           32.69           33.42            0.72
 17         3999220          662588           31.81           32.44            0.63
 18         3999220          701185           31.01           31.52            0.51
 19         3999220          738432           30.25           30.76            0.51
 20         3999220          774528           29.54           29.96            0.41
 21         3999220          810495           28.91           29.25            0.35
 22         3999220          845372           28.29           28.58            0.29
 23         3999220          879030           27.71           28.03            0.32
 24         3999220          911847           27.17           27.43            0.26
 25         3999220          943295           26.66           26.90            0.24
 26         3999220          972906           26.19           26.39            0.20
 27         3999220         1002488           25.73           25.92            0.19
 28         3999220         1029520           25.29           25.46            0.17
 29         3999220         1055539           24.87           25.02            0.15
 30         3999220         1080218           24.47           24.67            0.20
 31         3999220         1104402           24.11           24.20            0.09
 32         3999220         1127022           23.74           23.88            0.13
 33         3999220         1148243           23.41           23.57            0.16
 34         3999220         1168387           23.09           23.15            0.06
 35         3999220         1188433           22.76           22.87            0.11
 36         3999220         1206389           22.46           22.55            0.09
 37         3999220         1224471           22.16           22.21            0.05
 38         3999220         1240490           21.89           22.01            0.12
 39         3999220         1256742           21.63           21.71            0.08
 40         3999220         1271683           21.35           21.39            0.04
