HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220            5889           62.68           69.90            7.22
  4         3999220            7788           57.07           62.71            5.64
  5         3999220            9743           52.75           57.08            4.33
  6         3999220           11734           49.29           52.60            3.31
  7         3999220           13669           46.41           48.91            2.50
  8         3999220           15648           44.01           46.37            2.36
  9         3999220           17619           41.92           43.81            1.89
 10         3999220           19512           40.13           41.76            1.63
 11         3999220           21454           38.53           39.72            1.19
 12         3999220           23457           37.12           38.28            1.16
 13         3999220           25323           35.84           36.97            1.13
 14         3999220           27363           34.68           35.54            0.86
 15         3999220           29206           33.65           34.49            0.84
 16         3999220           31171           32.69           33.54            0.84
 17         3999220           33145           31.81           32.53            0.72
 18         3999220           35056           31.01           31.67            0.66
 19         3999220           36978           30.25           30.86            0.60
 20         3999220           38776           29.54           29.92            0.37
 21         3999220           40768           28.91           29.32            0.42
 22         3999220           42415           28.29           28.64            0.36
 23         3999220           44136           27.71           28.06            0.35
 24         3999220           45870           27.17           27.45            0.28
 25         3999220           47561           26.66           26.85            0.19
 26         3999220           49001           26.19           26.38            0.19
 27         3999220           50764           25.73           25.92            0.19
 28         3999220           52203           25.29           25.44            0.16
 29         3999220           53588           24.87           25.13            0.26
 30         3999220           54901           24.47           24.65            0.18
 31         3999220           56225           24.11           24.12            0.00
 32         3999220           57273           23.74           23.95            0.21
 33         3999220           58314           23.41           23.51            0.10
 34         3999220           59454           23.09           23.20            0.11
 35         3999220           60702           22.76           22.94            0.17
 36         3999220           61542           22.46           22.58            0.11
 37         3999220           62621           22.16           22.20            0.05
 38         3999220           63499           21.89           22.11            0.22
 39         3999220           64275           21.63           21.72            0.09
 40         3999220           65088           21.35           21.41            0.06
