HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           46882           62.68           70.20            7.52
  4         3999220           62360           57.07           62.51            5.44
  5         3999220           78135           52.75           56.93            4.18
  6         3999220           93914           49.29           52.64            3.35
  7         3999220          109383           46.41           49.12            2.71
  8         3999220          124956           44.01           46.28            2.27
  9         3999220          140560           41.92           43.91            1.99
 10         3999220          156226           40.13           41.75            1.62
 11         3999220          171921           38.53           39.82            1.30
 12         3999220          187576           37.12           38.28            1.16
 13         3999220          203040           35.84           36.91            1.07
 14         3999220          218663           34.68           35.59            0.91
 15         3999220          233972           33.65           34.47            0.82
 16         3999220          249859           32.69           33.50            0.81
 17         3999220          265406           31.81           32.47            0.65
 18         3999220          280815           31.01           31.53            0.52
 19         3999220          295842           30.25           30.78            0.53
 20         3999220          310393           29.54           30.00            0.46
 21         3999220          324976           28.91           29.29            0.39
 22         3999220          339542           28.29           28.63            0.34
 23         3999220          353219           27.71           28.08            0.37
 24         3999220          366681           27.17           27.43            0.26
 25         3999220          379645           26.66           26.89            0.23
 26         3999220          392011           26.19           26.44            0.25
 27         3999220          404551           25.73           25.92            0.19
 28         3999220          415975           25.29           25.46            0.17
 29         3999220          426608           24.87           25.05            0.18
 30         3999220          437653           24.47           24.69            0.22
 31         3999220          447571           24.11           24.19            0.08
 32         3999220          457031           23.74           23.88            0.14
 33         3999220          466026           23.41           23.59            0.18
 34         3999220          474748           23.09           23.14            0.06
 35         3999220          483382           22.76           22.89            0.12
 36         3999220          491450           22.46           22.54            0.08
 37         3999220          498579           22.16           22.21            0.05
 38         3999220          505953           21.89           22.05            0.15
 39         3999220          512805           21.63           21.72            0.09
 40         3999220          519335           21.35           21.39            0.04
