HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           17542           62.68           70.09            7.41
  4         3999220           23392           57.07           62.45            5.38
  5         3999220           29341           52.75           57.02            4.27
  6         3999220           35250           49.29           52.65            3.36
  7         3999220           40990           46.41           49.10            2.69
  8         3999220           46847           44.01           46.27            2.26
  9         3999220           52783           41.92           43.89            1.97
 10         3999220           58598           40.13           41.85            1.72
 11         3999220           64388           38.53           39.84            1.32
 12         3999220           70403           37.12           38.35            1.23
 13         3999220           76097           35.84           36.93            1.09
 14         3999220           82109           34.68           35.55            0.86
 15         3999220           87804           33.65           34.59            0.94
 16         3999220           93635           32.69           33.49            0.80
 17         3999220           99572           31.81           32.53            0.71
 18         3999220          105297           31.01           31.60            0.59
 19         3999220          111034           30.25           30.79            0.54
 20         3999220          116345           29.54           30.06            0.51
 21         3999220          121865           28.91           29.30            0.40
 22         3999220          127378           28.29           28.58            0.29
 23         3999220          132380           27.71           28.03            0.32
 24         3999220          137726           27.17           27.44            0.27
 25         3999220          142504           26.66           26.92            0.26
 26         3999220          147122           26.19           26.41            0.22
 27         3999220          152044           25.73           25.89            0.16
 28         3999220          156224           25.29           25.46            0.17
 29         3999220          160290           24.87           25.09            0.22
 30         3999220          164425           24.47           24.70            0.22
 31         3999220          168468           24.11           24.17            0.05
 32         3999220          171797           23.74           23.89            0.15
 33         3999220          175123           23.41           23.56            0.15
 34         3999220          178370           23.09           23.13            0.04
 35         3999220          181542           22.76           22.92            0.16
 36         3999220          184656           22.46           22.55            0.09
 37         3999220          187619           22.16           22.21            0.05
 38         3999220          190412           21.89           22.06            0.17
 39         3999220          192917           21.63           21.70            0.07
 40         3999220          195513           21.35           21.42            0.07
