HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           11721           62.68           70.13            7.45
  4         3999220           15581           57.07           62.46            5.39
  5         3999220           19569           52.75           57.06            4.31
  6         3999220           23458           49.29           52.54            3.25
  7         3999220           27322           46.41           49.10            2.69
  8         3999220           31247           44.01           46.38            2.37
  9         3999220           35164           41.92           43.92            2.00
 10         3999220           39041           40.13           41.80            1.67
 11         3999220           42978           38.53           39.82            1.30
 12         3999220           46949           37.12           38.33            1.20
 13         3999220           50726           35.84           36.92            1.09
 14         3999220           54720           34.68           35.56            0.88
 15         3999220           58488           33.65           34.58            0.93
 16         3999220           62397           32.69           33.47            0.77
 17         3999220           66423           31.81           32.47            0.66
 18         3999220           70181           31.01           31.62            0.60
 19         3999220           73965           30.25           30.84            0.59
 20         3999220           77595           29.54           30.04            0.50
 21         3999220           81395           28.91           29.31            0.40
 22         3999220           84925           28.29           28.60            0.32
 23         3999220           88242           27.71           28.05            0.34
 24         3999220           91830           27.17           27.44            0.27
 25         3999220           95038           26.66           26.89            0.23
 26         3999220           98012           26.19           26.43            0.24
 27         3999220          101371           25.73           25.90            0.17
 28         3999220          104203           25.29           25.47            0.18
 29         3999220          106966           24.87           25.07            0.20
 30         3999220          109667           24.47           24.71            0.24
 31         3999220          112388           24.11           24.18            0.07
 32         3999220          114518           23.74           23.88            0.14
 33         3999220          116808           23.41           23.55            0.14
 34         3999220          119029           23.09           23.16            0.07
 35         3999220          121100           22.76           22.91            0.14
 36         3999220          123138           22.46           22.56            0.10
 37         3999220          125068           22.16           22.20            0.04
 38         3999220          127012           21.89           22.07            0.18
 39         3999220          128595           21.63           21.68            0.05
 40         3999220          130307           21.35           21.41            0.06
