HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           11672           62.68           70.52            7.84
  4         3999220           15615           57.07           62.47            5.40
  5         3999220           19561           52.76           57.23            4.47
  6         3999220           23441           49.27           52.95            3.68
  7         3999220           27315           46.41           49.54            3.13
  8         3999220           31213           43.99           46.42            2.43
  9         3999220           35161           41.92           44.23            2.30
 10         3999220           39092           40.11           42.14            2.03
 11         3999220           42877           38.52           40.30            1.78
 12         3999220           46745           37.11           38.84            1.73
 13         3999220           50605           35.84           37.34            1.49
 14         3999220           54659           34.68           35.89            1.21
 15         3999220           58547           33.67           34.94            1.27
 16         3999220           62472           32.69           33.94            1.25
 17         3999220           66460           31.82           32.97            1.15
 18         3999220           70222           31.00           32.07            1.07
 19         3999220           73901           30.26           31.28            1.03
 20         3999220           77720           29.54           30.47            0.93
 21         3999220           81462           28.90           29.83            0.92
 22         3999220           84862           28.29           29.40            1.12
 23         3999220           88470           27.71           28.51            0.80
 24         3999220           91660           27.16           28.03            0.87
 25         3999220           95076           26.66           27.48            0.83
 26         3999220           98190           26.17           26.95            0.78
 27         3999220          101334           25.70           26.53            0.82
 28         3999220          104087           25.28           26.12            0.83
 29         3999220          106858           24.87           25.72            0.85
 30         3999220          109646           24.49           25.21            0.72
 31         3999220          112278           24.10           24.87            0.76
 32         3999220          114707           23.74           24.47            0.73
 33         3999220          116950           23.41           24.14            0.73
 34         3999220          119202           23.07           23.82            0.75
 35         3999220          121244           22.75           23.48            0.73
 36         3999220          123251           22.46           23.13            0.67
 37         3999220          125068           22.17           22.81            0.64
 38         3999220          126849           21.88           22.54            0.65
 39         3999220          128596           21.62           22.30            0.68
 40         3999220          130325           21.35           21.99            0.64
