HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220            5851           62.68           70.36            7.68
  4         3999220            7806           57.07           62.51            5.43
  5         3999220            9724           52.76           57.12            4.36
  6         3999220           11673           49.27           52.89            3.62
  7         3999220           13658           46.41           49.53            3.12
  8         3999220           15627           43.99           46.50            2.50
  9         3999220           17539           41.92           44.17            2.25
 10         3999220           19536           40.11           42.19            2.08
 11         3999220           21487           38.52           40.30            1.78
 12         3999220           23451           37.11           38.75            1.64
 13         3999220           25262           35.84           37.41            1.57
 14         3999220           27342           34.68           35.93            1.25
 15         3999220           29227           33.67           35.02            1.35
 16         3999220           31240           32.69           33.96            1.27
 17         3999220           33312           31.82           32.95            1.13
 18         3999220           35085           31.00           32.18            1.18
 19         3999220           36960           30.26           31.35            1.10
 20         3999220           38871           29.54           30.44            0.90
 21         3999220           40734           28.90           29.80            0.90
 22         3999220           42474           28.29           29.44            1.16
 23         3999220           44224           27.71           28.49            0.78
 24         3999220           45904           27.16           28.04            0.88
 25         3999220           47640           26.66           27.44            0.78
 26         3999220           49106           26.17           26.90            0.73
 27         3999220           50713           25.70           26.49            0.79
 28         3999220           52065           25.28           26.18            0.89
 29         3999220           53363           24.87           25.71            0.84
 30         3999220           54800           24.49           25.15            0.66
 31         3999220           56146           24.10           24.88            0.78
 32         3999220           57300           23.74           24.49            0.75
 33         3999220           58507           23.41           24.11            0.71
 34         3999220           59533           23.07           23.85            0.78
 35         3999220           60613           22.75           23.47            0.72
 36         3999220           61687           22.46           23.15            0.69
 37         3999220           62496           22.17           22.74            0.57
 38         3999220           63433           21.88           22.48            0.60
 39         3999220           64232           21.62           22.27            0.65
 40         3999220           65237           21.35           22.01            0.66
