HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220            2321           62.68           71.05            8.37
  4         3999220            3139           57.07           62.41            5.34
  5         3999220            3881           52.76           56.90            4.14
  6         3999220            4675           49.27           53.00            3.72
  7         3999220            5481           46.41           49.69            3.29
  8         3999220            6231           43.99           46.61            2.62
  9         3999220            7005           41.92           44.26            2.33
 10         3999220            7787           40.11           42.15            2.04
 11         3999220            8587           38.52           40.35            1.84
 12         3999220            9405           37.11           38.75            1.64
 13         3999220           10064           35.84           37.25            1.41
 14         3999220           10941           34.68           35.88            1.20
 15         3999220           11675           33.67           35.17            1.50
 16         3999220           12507           32.69           33.88            1.19
 17         3999220           13363           31.82           32.77            0.95
 18         3999220           14028           31.00           32.26            1.26
 19         3999220           14777           30.26           31.33            1.08
 20         3999220           15560           29.54           30.64            1.10
 21         3999220           16355           28.90           29.72            0.82
 22         3999220           16961           28.29           29.36            1.08
 23         3999220           17805           27.71           28.48            0.77
 24         3999220           18338           27.16           28.10            0.93
 25         3999220           19088           26.66           27.48            0.82
 26         3999220           19541           26.17           26.89            0.72
 27         3999220           20291           25.70           26.56            0.85
 28         3999220           20915           25.28           26.28            1.00
 29         3999220           21377           24.87           25.73            0.87
 30         3999220           21942           24.49           25.11            0.62
 31         3999220           22442           24.10           24.90            0.80
 32         3999220           22918           23.74           24.44            0.70
 33         3999220           23434           23.41           24.19            0.78
 34         3999220           23898           23.07           23.79            0.72
 35         3999220           24318           22.75           23.42            0.66
 36         3999220           24702           22.46           23.20            0.74
 37         3999220           25006           22.17           22.74            0.57
 38         3999220           25440           21.88           22.44            0.56
 39         3999220           25789           21.62           22.33            0.71
 40         3999220           26097           21.35           21.97            0.62
