HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220          234491           62.68           70.33            7.65
  4         3999220          312620           57.07           62.71            5.63
  5         3999220          390731           52.76           57.19            4.43
  6         3999220          468508           49.27           52.87            3.60
  7         3999220          546547           46.41           49.40            3.00
  8         3999220          625042           43.99           46.56            2.56
  9         3999220          702821           41.92           44.16            2.23
 10         3999220          780703           40.11           42.06            1.96
 11         3999220          859062           38.52           40.26            1.74
 12         3999220          937570           37.11           38.68            1.56
 13         3999220         1014831           35.84           37.26            1.42
 14         3999220         1092308           34.68           35.98            1.30
 15         3999220         1170400           33.67           34.86            1.20
 16         3999220         1246647           32.69           33.82            1.13
 17         3999220         1321810           31.82           32.88            1.06
 18         3999220         1394137           31.00           31.99            0.99
 19         3999220         1466231           30.26           31.20            0.94
 20         3999220         1535702           29.54           30.42            0.88
 21         3999220         1601592           28.90           29.76            0.86
 22         3999220         1664902           28.29           29.10            0.81
 23         3999220         1725100           27.71           28.47            0.76
 24         3999220         1782833           27.16           27.91            0.75
 25         3999220         1837333           26.66           27.38            0.72
 26         3999220         1889325           26.17           26.86            0.69
 27         3999220         1937429           25.70           26.38            0.67
 28         3999220         1983488           25.28           25.93            0.65
 29         3999220         2026886           24.87           25.51            0.64
 30         3999220         2067984           24.49           25.12            0.63
 31         3999220         2106332           24.10           24.73            0.62
 32         3999220         2143014           23.74           24.35            0.61
 33         3999220         2176460           23.41           23.99            0.59
 34         3999220         2208057           23.07           23.66            0.58
 35         3999220         2238595           22.75           23.32            0.57
 36         3999220         2266925           22.46           23.03            0.57
 37         3999220         2293914           22.17           22.72            0.55
 38         3999220         2318710           21.88           22.43            0.55
 39         3999220         2342517           21.62           22.16            0.54
 40         3999220         2365140           21.35           21.88            0.53
