HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           46928           62.68           70.42            7.74
  4         3999220           62529           57.07           62.76            5.69
  5         3999220           78192           52.76           57.30            4.54
  6         3999220           93695           49.27           52.92            3.65
  7         3999220          109339           46.41           49.42            3.02
  8         3999220          125015           43.99           46.62            2.63
  9         3999220          140626           41.92           44.23            2.30
 10         3999220          156373           40.11           42.12            2.01
 11         3999220          171550           38.52           40.32            1.80
 12         3999220          187361           37.11           38.74            1.63
 13         3999220          202978           35.84           37.38            1.54
 14         3999220          218620           34.68           36.05            1.37
 15         3999220          234269           33.67           35.01            1.34
 16         3999220          249887           32.69           33.93            1.25
 17         3999220          265363           31.82           32.99            1.18
 18         3999220          280516           31.00           32.10            1.10
 19         3999220          295544           30.26           31.30            1.05
 20         3999220          310644           29.54           30.52            0.98
 21         3999220          325376           28.90           29.85            0.95
 22         3999220          339467           28.29           29.24            0.96
 23         3999220          353401           27.71           28.57            0.86
 24         3999220          366843           27.16           28.03            0.87
 25         3999220          379720           26.66           27.51            0.85
 26         3999220          392153           26.17           26.97            0.80
 27         3999220          404152           25.70           26.50            0.79
 28         3999220          415606           25.28           26.10            0.82
 29         3999220          426653           24.87           25.65            0.78
 30         3999220          437136           24.49           25.23            0.74
 31         3999220          447583           24.10           24.85            0.75
 32         3999220          457499           23.74           24.48            0.74
 33         3999220          466366           23.41           24.14            0.73
 34         3999220          474776           23.07           23.78            0.70
 35         3999220          483405           22.75           23.50            0.74
 36         3999220          491061           22.46           23.18            0.73
 37         3999220          498960           22.17           22.85            0.68
 38         3999220          505804           21.88           22.56            0.67
 39         3999220          512663           21.62           22.35            0.73
 40         3999220          519515           21.35           22.01            0.66
