HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           23429           62.68           70.37            7.69
  4         3999220           31249           57.07           62.67            5.60
  5         3999220           39111           52.76           57.17            4.41
  6         3999220           46835           49.27           52.93            3.66
  7         3999220           54635           46.41           49.49            3.08
  8         3999220           62444           43.99           46.58            2.59
  9         3999220           70368           41.92           44.19            2.27
 10         3999220           78201           40.11           42.07            1.97
 11         3999220           85809           38.52           40.31            1.80
 12         3999220           93637           37.11           38.72            1.61
 13         3999220          101492           35.84           37.39            1.54
 14         3999220          109243           34.68           36.00            1.32
 15         3999220          117218           33.67           34.97            1.31
 16         3999220          124948           32.69           33.93            1.24
 17         3999220          132708           31.82           33.00            1.18
 18         3999220          140298           31.00           32.04            1.04
 19         3999220          147783           30.26           31.32            1.06
 20         3999220          155292           29.54           30.48            0.95
 21         3999220          162773           28.90           29.85            0.95
 22         3999220          169829           28.29           29.31            1.03
 23         3999220          176946           27.71           28.55            0.84
 24         3999220          183443           27.16           28.02            0.86
 25         3999220          190124           26.66           27.52            0.86
 26         3999220          196365           26.17           26.97            0.79
 27         3999220          202433           25.70           26.49            0.78
 28         3999220          208232           25.28           26.09            0.81
 29         3999220          213643           24.87           25.70            0.84
 30         3999220          219006           24.49           25.21            0.72
 31         3999220          224387           24.10           24.84            0.73
 32         3999220          229210           23.74           24.46            0.72
 33         3999220          233646           23.41           24.12            0.71
 34         3999220          238121           23.07           23.75            0.68
 35         3999220          242156           22.75           23.51            0.76
 36         3999220          246320           22.46           23.16            0.71
 37         3999220          250225           22.17           22.82            0.66
 38         3999220          253644           21.88           22.56            0.67
 39         3999220          257050           21.62           22.34            0.71
 40         3999220          260478           21.35           22.01            0.66
