HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999220           17548           62.68           70.52            7.84
  4         3999220           23435           57.07           62.64            5.56
  5         3999220           29371           52.76           57.26            4.50
  6         3999220           35135           49.27           52.88            3.61
  7         3999220           40964           46.41           49.55            3.14
  8         3999220           46762           43.99           46.52            2.53
  9         3999220           52754           41.92           44.23            2.31
 10         3999220           58644           40.11           42.08            1.98
 11         3999220           64383           38.52           40.29            1.78
 12         3999220           70146           37.11           38.76            1.65
 13         3999220           76017           35.84           37.39            1.55
 14         3999220           81995           34.68           35.97            1.29
 15         3999220           87863           33.67           34.96            1.30
 16         3999220           93733           32.69           33.95            1.27
 17         3999220           99563           31.82           32.95            1.13
 18         3999220          105254           31.00           32.06            1.06
 19         3999220          110895           30.26           31.31            1.05
 20         3999220          116521           29.54           30.47            0.93
 21         3999220          122114           28.90           29.85            0.94
 22         3999220          127273           28.29           29.36            1.07
 23         3999220          132705           27.71           28.51            0.80
 24         3999220          137543           27.16           28.04            0.87
 25         3999220          142593           26.66           27.53            0.88
 26         3999220          147244           26.17           26.96            0.79
 27         3999220          151983           25.70           26.50            0.80
 28         3999220          156167           25.28           26.12            0.84
 29         3999220          160231           24.87           25.71            0.84
 30         3999220          164353           24.49           25.22            0.73
 31         3999220          168336           24.10           24.85            0.75
 32         3999220          171983           23.74           24.46            0.72
 33         3999220          175356           23.41           24.12            0.71
 34         3999220          178686           23.07           23.79            0.72
 35         3999220          181707           22.75           23.50            0.74
 36         3999220          184855           22.46           23.13            0.68
 37         3999220          187734           22.17           22.81            0.64
 38         3999220          190375           21.88           22.57            0.68
 39         3999220          192872           21.62           22.34            0.71
 40         3999220          195558           21.35           21.99            0.63
