HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            4809           67.40           77.75           10.35
  4         3297090            6432           62.41           70.30            7.89
  5         3297090            8067           59.21           66.34            7.12
  6         3297090            9685           55.38           60.81            5.43
  7         3297090           11309           51.28           55.65            4.37
  8         3297090           12916           49.17           52.58            3.41
  9         3297090           14478           47.08           50.50            3.42
 10         3297090           16160           46.46           49.47            3.01
 11         3297090           17700           45.72           49.00            3.28
 12         3297090           19231           42.23           44.67            2.44
 13         3297090           20990           43.09           45.61            2.51
 14         3297090           22563           39.91           42.09            2.18
 15         3297090           24129           39.56           41.39            1.83
 16         3297090           25770           38.28           40.16            1.88
 17         3297090           27402           36.52           38.13            1.62
 18         3297090           28945           35.00           36.39            1.39
 19         3297090           30484           35.93           37.57            1.65
 20         3297090           32303           33.35           34.90            1.54
 21         3297090           33772           33.74           35.17            1.43
 22         3297090           35366           32.63           33.93            1.30
 23         3297090           36775           32.01           33.28            1.27
 24         3297090           38475           30.41           31.55            1.15
 25         3297090           39800           31.27           32.51            1.24
 26         3297090           41399           30.78           32.00            1.22
 27         3297090           42595           29.64           30.81            1.16
 28         3297090           44026           29.84           30.99            1.14
 29         3297090           45383           28.95           29.93            0.98
 30         3297090           46861           28.24           29.33            1.09
 31         3297090           47953           27.75           28.82            1.07
 32         3297090           49111           27.70           28.77            1.08
 33         3297090           50467           26.93           27.97            1.04
 34         3297090           51660           26.17           27.16            0.99
 35         3297090           52650           26.64           27.67            1.02
 36         3297090           53650           25.89           26.76            0.88
 37         3297090           54870           25.49           26.42            0.93
 38         3297090           55788           25.62           26.55            0.93
 39         3297090           56565           24.73           25.61            0.87
 40         3297090           57500           25.23           26.15            0.93
