HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            1928           67.40           77.57           10.17
  4         3297090            2578           62.41           70.26            7.86
  5         3297090            3221           59.21           66.03            6.81
  6         3297090            3872           55.38           61.07            5.69
  7         3297090            4516           51.28           55.71            4.43
  8         3297090            5173           49.17           52.74            3.57
  9         3297090            5803           47.08           50.36            3.28
 10         3297090            6460           46.46           49.54            3.08
 11         3297090            7096           45.72           49.17            3.44
 12         3297090            7732           42.23           44.83            2.60
 13         3297090            8420           43.09           45.44            2.34
 14         3297090            9025           39.91           41.92            2.01
 15         3297090            9638           39.56           41.22            1.67
 16         3297090           10308           38.28           40.13            1.85
 17         3297090           10959           36.52           38.28            1.76
 18         3297090           11565           35.00           36.39            1.39
 19         3297090           12212           35.93           37.39            1.46
 20         3297090           12916           33.35           34.73            1.38
 21         3297090           13510           33.74           35.32            1.58
 22         3297090           14099           32.63           34.01            1.38
 23         3297090           14675           32.01           33.15            1.14
 24         3297090           15379           30.41           31.55            1.15
 25         3297090           15967           31.27           32.65            1.38
 26         3297090           16600           30.78           31.88            1.10
 27         3297090           17028           29.64           30.85            1.20
 28         3297090           17622           29.84           31.09            1.24
 29         3297090           18161           28.95           29.93            0.98
 30         3297090           18726           28.24           29.37            1.12
 31         3297090           19183           27.75           28.77            1.02
 32         3297090           19599           27.70           28.91            1.21
 33         3297090           20164           26.93           27.96            1.03
 34         3297090           20706           26.17           27.23            1.06
 35         3297090           21060           26.64           27.75            1.11
 36         3297090           21438           25.89           26.68            0.79
 37         3297090           21909           25.49           26.49            1.00
 38         3297090           22305           25.62           26.66            1.05
 39         3297090           22597           24.73           25.57            0.84
 40         3297090           22966           25.23           26.19            0.96
