HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           38786           67.40           77.71           10.31
  4         3297090           51533           62.41           70.24            7.83
  5         3297090           64299           59.21           66.04            6.82
  6         3297090           77326           55.38           60.94            5.57
  7         3297090           90129           51.28           55.43            4.15
  8         3297090          102997           49.17           52.75            3.58
  9         3297090          115797           47.08           50.34            3.26
 10         3297090          128898           46.46           49.60            3.14
 11         3297090          141740           45.72           48.77            3.05
 12         3297090          154207           42.23           44.60            2.37
 13         3297090          167613           43.09           45.65            2.56
 14         3297090          180216           39.91           42.05            2.14
 15         3297090          193358           39.56           41.53            1.98
 16         3297090          206105           38.28           40.16            1.88
 17         3297090          219103           36.52           38.20            1.68
 18         3297090          231821           35.00           36.47            1.47
 19         3297090          244518           35.93           37.51            1.58
 20         3297090          257326           33.35           34.74            1.39
 21         3297090          269880           33.74           35.11            1.37
 22         3297090          282285           32.63           33.93            1.29
 23         3297090          294259           32.01           33.32            1.31
 24         3297090          306717           30.41           31.54            1.14
 25         3297090          318272           31.27           32.52            1.24
 26         3297090          330439           30.78           31.94            1.16
 27         3297090          341352           29.64           30.80            1.16
 28         3297090          352266           29.84           30.96            1.11
 29         3297090          362895           28.95           29.99            1.03
 30         3297090          373505           28.24           29.32            1.08
 31         3297090          383065           27.75           28.76            1.01
 32         3297090          393004           27.70           28.71            1.01
 33         3297090          402625           26.93           27.90            0.98
 34         3297090          411501           26.17           27.09            0.93
 35         3297090          419772           26.64           27.64            1.00
 36         3297090          427950           25.89           26.81            0.92
 37         3297090          436138           25.49           26.41            0.92
 38         3297090          443902           25.62           26.52            0.90
 39         3297090          450614           24.73           25.64            0.90
 40         3297090          457787           25.23           26.14            0.91
