HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           96666           67.40           77.70           10.29
  4         3297090          128966           62.41           70.24            7.84
  5         3297090          160969           59.21           66.07            6.85
  6         3297090          193263           55.38           60.88            5.51
  7         3297090          225596           51.28           55.45            4.17
  8         3297090          257594           49.17           52.79            3.62
  9         3297090          289618           47.08           50.32            3.24
 10         3297090          322322           46.46           49.56            3.10
 11         3297090          354362           45.72           48.72            3.00
 12         3297090          386094           42.23           44.62            2.39
 13         3297090          418865           43.09           45.65            2.55
 14         3297090          450667           39.91           41.95            2.04
 15         3297090          482994           39.56           41.54            1.98
 16         3297090          515301           38.28           40.11            1.83
 17         3297090          546982           36.52           38.16            1.64
 18         3297090          579160           35.00           36.47            1.47
 19         3297090          610882           35.93           37.48            1.55
 20         3297090          642590           33.35           34.67            1.32
 21         3297090          673649           33.74           35.11            1.37
 22         3297090          704065           32.63           33.89            1.26
 23         3297090          734293           32.01           33.25            1.24
 24         3297090          764097           30.41           31.48            1.07
 25         3297090          792481           31.27           32.45            1.18
 26         3297090          820814           30.78           31.89            1.12
 27         3297090          848158           29.64           30.71            1.07
 28         3297090          874263           29.84           30.93            1.09
 29         3297090          899472           28.95           29.97            1.01
 30         3297090          924343           28.24           29.24            1.00
 31         3297090          947372           27.75           28.71            0.96
 32         3297090          970098           27.70           28.66            0.96
 33         3297090          991756           26.93           27.85            0.93
 34         3297090         1012964           26.17           27.05            0.89
 35         3297090         1032895           26.64           27.56            0.92
 36         3297090         1051980           25.89           26.77            0.88
 37         3297090         1069939           25.49           26.36            0.87
 38         3297090         1087750           25.62           26.48            0.87
 39         3297090         1103926           24.73           25.58            0.84
 40         3297090         1120019           25.23           26.08            0.86
