HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            9691           67.40           77.85           10.44
  4         3297090           12911           62.41           70.22            7.81
  5         3297090           16102           59.21           66.26            7.05
  6         3297090           19336           55.38           60.86            5.48
  7         3297090           22579           51.28           55.51            4.24
  8         3297090           25710           49.17           52.61            3.44
  9         3297090           29016           47.08           50.35            3.27
 10         3297090           32351           46.46           49.52            3.06
 11         3297090           35396           45.72           48.97            3.25
 12         3297090           38554           42.23           44.66            2.43
 13         3297090           41890           43.09           45.65            2.56
 14         3297090           45042           39.91           42.01            2.10
 15         3297090           48346           39.56           41.57            2.01
 16         3297090           51533           38.28           40.18            1.90
 17         3297090           54825           36.52           38.14            1.62
 18         3297090           57900           35.00           36.48            1.48
 19         3297090           61027           35.93           37.52            1.60
 20         3297090           64393           33.35           34.84            1.49
 21         3297090           67461           33.74           35.19            1.45
 22         3297090           70680           32.63           33.88            1.24
 23         3297090           73633           32.01           33.35            1.34
 24         3297090           76760           30.41           31.53            1.13
 25         3297090           79611           31.27           32.56            1.29
 26         3297090           82830           30.78           31.94            1.16
 27         3297090           85328           29.64           30.76            1.12
 28         3297090           88067           29.84           31.01            1.16
 29         3297090           90720           28.95           29.98            1.03
 30         3297090           93589           28.24           29.33            1.09
 31         3297090           96081           27.75           28.76            1.01
 32         3297090           98315           27.70           28.75            1.05
 33         3297090          100918           26.93           27.90            0.98
 34         3297090          103110           26.17           27.13            0.96
 35         3297090          105184           26.64           27.66            1.02
 36         3297090          107274           25.89           26.76            0.87
 37         3297090          109504           25.49           26.45            0.95
 38         3297090          111349           25.62           26.52            0.90
 39         3297090          113204           24.73           25.65            0.92
 40         3297090          115016           25.23           26.14            0.91
