HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           14516           67.40           77.83           10.43
  4         3297090           19372           62.41           70.37            7.97
  5         3297090           24148           59.21           66.08            6.87
  6         3297090           28988           55.38           60.89            5.52
  7         3297090           33825           51.28           55.47            4.19
  8         3297090           38624           49.17           52.69            3.52
  9         3297090           43579           47.08           50.37            3.29
 10         3297090           48471           46.46           49.58            3.12
 11         3297090           53119           45.72           48.92            3.20
 12         3297090           57884           42.23           44.63            2.40
 13         3297090           62875           43.09           45.61            2.51
 14         3297090           67595           39.91           42.06            2.15
 15         3297090           72562           39.56           41.56            2.01
 16         3297090           77219           38.28           40.11            1.83
 17         3297090           82128           36.52           38.21            1.69
 18         3297090           86891           35.00           36.48            1.49
 19         3297090           91462           35.93           37.56            1.63
 20         3297090           96550           33.35           34.77            1.41
 21         3297090          101154           33.74           35.13            1.38
 22         3297090          105996           32.63           33.90            1.27
 23         3297090          110452           32.01           33.37            1.36
 24         3297090          115151           30.41           31.54            1.13
 25         3297090          119367           31.27           32.51            1.24
 26         3297090          124204           30.78           31.96            1.18
 27         3297090          127987           29.64           30.76            1.12
 28         3297090          132202           29.84           31.00            1.16
 29         3297090          136212           28.95           29.96            1.00
 30         3297090          140317           28.24           29.31            1.07
 31         3297090          143904           27.75           28.80            1.05
 32         3297090          147639           27.70           28.72            1.02
 33         3297090          151316           26.93           27.87            0.95
 34         3297090          154714           26.17           27.11            0.95
 35         3297090          157759           26.64           27.66            1.02
 36         3297090          160832           25.89           26.77            0.88
 37         3297090          164105           25.49           26.38            0.89
 38         3297090          166902           25.62           26.53            0.91
 39         3297090          169504           24.73           25.64            0.91
 40         3297090          172416           25.23           26.13            0.90
