HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           19332           67.40           77.86           10.46
  4         3297090           25807           62.41           70.32            7.91
  5         3297090           32177           59.21           66.05            6.84
  6         3297090           38712           55.38           60.87            5.49
  7         3297090           45013           51.28           55.54            4.26
  8         3297090           51543           49.17           52.72            3.55
  9         3297090           57956           47.08           50.38            3.30
 10         3297090           64550           46.46           49.59            3.13
 11         3297090           70867           45.72           48.84            3.12
 12         3297090           77154           42.23           44.57            2.34
 13         3297090           83804           43.09           45.68            2.59
 14         3297090           90129           39.91           42.07            2.16
 15         3297090           96776           39.56           41.49            1.94
 16         3297090          102920           38.28           40.15            1.87
 17         3297090          109538           36.52           38.21            1.69
 18         3297090          115894           35.00           36.50            1.51
 19         3297090          122099           35.93           37.52            1.59
 20         3297090          128689           33.35           34.76            1.40
 21         3297090          134981           33.74           35.12            1.38
 22         3297090          141364           32.63           33.92            1.29
 23         3297090          147168           32.01           33.35            1.34
 24         3297090          153462           30.41           31.57            1.16
 25         3297090          159208           31.27           32.48            1.21
 26         3297090          165502           30.78           31.95            1.17
 27         3297090          170721           29.64           30.80            1.16
 28         3297090          176364           29.84           31.00            1.15
 29         3297090          181536           28.95           29.96            1.01
 30         3297090          187088           28.24           29.33            1.09
 31         3297090          191822           27.75           28.78            1.03
 32         3297090          196809           27.70           28.74            1.04
 33         3297090          201763           26.93           27.89            0.96
 34         3297090          206191           26.17           27.10            0.93
 35         3297090          210229           26.64           27.66            1.02
 36         3297090          214455           25.89           26.76            0.88
 37         3297090          218766           25.49           26.40            0.91
 38         3297090          222552           25.62           26.50            0.88
 39         3297090          225910           24.73           25.65            0.91
 40         3297090          229670           25.23           26.15            0.92
