HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090          193243           67.40           77.64           10.24
  4         3297090          257584           62.41           70.12            7.71
  5         3297090          322190           59.21           66.01            6.80
  6         3297090          386674           55.38           60.84            5.47
  7         3297090          450826           51.28           55.43            4.16
  8         3297090          515174           49.17           52.75            3.58
  9         3297090          579835           47.08           50.26            3.18
 10         3297090          644128           46.46           49.48            3.02
 11         3297090          708818           45.72           48.65            2.93
 12         3297090          772351           42.23           44.54            2.31
 13         3297090          837334           43.09           45.50            2.41
 14         3297090          901635           39.91           41.83            1.92
 15         3297090          965575           39.56           41.44            1.88
 16         3297090         1029447           38.28           39.97            1.69
 17         3297090         1093308           36.52           38.01            1.49
 18         3297090         1156113           35.00           36.35            1.36
 19         3297090         1217494           35.93           37.34            1.42
 20         3297090         1278601           33.35           34.56            1.20
 21         3297090         1337484           33.74           34.97            1.23
 22         3297090         1394366           32.63           33.76            1.13
 23         3297090         1449708           32.01           33.10            1.09
 24         3297090         1503192           30.41           31.38            0.97
 25         3297090         1553961           31.27           32.30            1.03
 26         3297090         1602807           30.78           31.75            0.97
 27         3297090         1649486           29.64           30.56            0.91
 28         3297090         1693312           29.84           30.75            0.91
 29         3297090         1735114           28.95           29.81            0.85
 30         3297090         1774794           28.24           29.07            0.83
 31         3297090         1812153           27.75           28.54            0.79
 32         3297090         1847734           27.70           28.48            0.78
 33         3297090         1881178           26.93           27.69            0.76
 34         3297090         1913483           26.17           26.88            0.72
 35         3297090         1943866           26.64           27.37            0.73
 36         3297090         1972228           25.89           26.60            0.71
 37         3297090         1998580           25.49           26.19            0.69
 38         3297090         2024699           25.62           26.31            0.70
 39         3297090         2048541           24.73           25.41            0.68
 40         3297090         2070857           25.23           25.90            0.67
