HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           11696           69.53           80.72           11.19
  4         3999039           15632           64.82           73.72            8.90
  5         3999039           19441           59.34           65.88            6.55
  6         3999039           23404           57.52           63.33            5.81
  7         3999039           27376           54.48           59.26            4.78
  8         3999039           31260           50.07           53.78            3.71
  9         3999039           35080           49.63           52.97            3.34
 10         3999039           38995           49.61           53.26            3.66
 11         3999039           42959           44.78           47.18            2.40
 12         3999039           46943           42.95           45.06            2.11
 13         3999039           50896           40.77           42.36            1.59
 14         3999039           54757           41.87           43.79            1.92
 15         3999039           58647           38.45           39.82            1.37
 16         3999039           62578           38.44           39.92            1.47
 17         3999039           66514           37.21           38.53            1.32
 18         3999039           70339           35.77           36.80            1.04
 19         3999039           74223           35.46           36.41            0.95
 20         3999039           77952           35.96           36.94            0.97
 21         3999039           81969           34.74           35.41            0.67
 22         3999039           85816           32.95           33.59            0.64
 23         3999039           89463           32.67           33.24            0.57
 24         3999039           93093           32.69           33.20            0.51
 25         3999039           96903           31.54           32.12            0.58
 26         3999039          100351           30.42           30.75            0.34
 27         3999039          104022           29.74           30.18            0.44
 28         3999039          107375           30.01           30.43            0.42
 29         3999039          110639           29.07           29.46            0.40
 30         3999039          113738           29.41           29.69            0.28
 31         3999039          116983           27.66           27.85            0.19
 32         3999039          120156           28.38           28.64            0.27
 33         3999039          122954           28.29           28.41            0.12
 34         3999039          125949           26.98           27.23            0.24
 35         3999039          128599           26.72           26.79            0.07
 36         3999039          131028           26.06           26.26            0.20
 37         3999039          133664           26.18           26.39            0.21
 38         3999039          136134           25.55           25.67            0.12
 39         3999039          138720           25.96           26.03            0.06
 40         3999039          140613           24.88           25.00            0.12
