HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039          234130           69.53           80.55           11.02
  4         3999039          312594           64.82           73.67            8.84
  5         3999039          390627           59.34           65.83            6.50
  6         3999039          468541           57.52           63.29            5.77
  7         3999039          546369           54.48           59.13            4.65
  8         3999039          624788           50.07           53.69            3.62
  9         3999039          703093           49.63           52.90            3.26
 10         3999039          780955           49.61           53.18            3.57
 11         3999039          859494           44.78           47.02            2.25
 12         3999039          937319           42.95           44.98            2.03
 13         3999039         1015266           40.77           42.31            1.54
 14         3999039         1093516           41.87           43.59            1.72
 15         3999039         1171543           38.45           39.67            1.22
 16         3999039         1248725           38.44           39.69            1.24
 17         3999039         1326128           37.21           38.20            1.00
 18         3999039         1402526           35.77           36.61            0.84
 19         3999039         1478640           35.46           36.20            0.74
 20         3999039         1552238           35.96           36.77            0.81
 21         3999039         1624442           34.74           35.36            0.62
 22         3999039         1694933           32.95           33.46            0.51
 23         3999039         1762190           32.67           33.11            0.44
 24         3999039         1827437           32.69           33.06            0.37
 25         3999039         1890900           31.54           31.90            0.36
 26         3999039         1950651           30.42           30.75            0.33
 27         3999039         2007583           29.74           30.03            0.29
 28         3999039         2062700           30.01           30.30            0.29
 29         3999039         2114758           29.07           29.36            0.29
 30         3999039         2163713           29.41           29.65            0.24
 31         3999039         2210605           27.66           27.77            0.11
 32         3999039         2254560           28.38           28.57            0.19
 33         3999039         2296350           28.29           28.39            0.10
 34         3999039         2336084           26.98           27.11            0.12
 35         3999039         2373768           26.72           26.82            0.10
 36         3999039         2409196           26.06           26.20            0.14
 37         3999039         2442756           26.18           26.30            0.12
 38         3999039         2474303           25.55           25.62            0.07
 39         3999039         2504616           25.96           26.04            0.08
 40         3999039         2532162           24.88           24.94            0.06
