HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039            2325           69.53           80.27           10.74
  4         3999039            3146           64.82           73.58            8.75
  5         3999039            3883           59.34           65.81            6.47
  6         3999039            4654           57.52           63.47            5.95
  7         3999039            5501           54.48           59.32            4.84
  8         3999039            6248           50.07           53.77            3.70
  9         3999039            6994           49.63           52.91            3.28
 10         3999039            7795           49.61           53.55            3.95
 11         3999039            8575           44.78           47.20            2.42
 12         3999039            9430           42.95           44.96            2.01
 13         3999039           10191           40.77           42.30            1.53
 14         3999039           10931           41.87           43.67            1.80
 15         3999039           11760           38.45           39.77            1.33
 16         3999039           12536           38.44           39.77            1.33
 17         3999039           13311           37.21           38.32            1.11
 18         3999039           14109           35.77           36.90            1.13
 19         3999039           14813           35.46           36.58            1.12
 20         3999039           15625           35.96           36.88            0.92
 21         3999039           16413           34.74           35.40            0.66
 22         3999039           17161           32.95           33.64            0.69
 23         3999039           17914           32.67           33.07            0.40
 24         3999039           18679           32.69           33.09            0.40
 25         3999039           19373           31.54           32.18            0.64
 26         3999039           20186           30.42           30.81            0.39
 27         3999039           20905           29.74           30.08            0.34
 28         3999039           21550           30.01           30.48            0.47
 29         3999039           22092           29.07           29.42            0.35
 30         3999039           22685           29.41           29.50            0.09
 31         3999039           23342           27.66           27.77            0.10
 32         3999039           23965           28.38           28.64            0.26
 33         3999039           24582           28.29           28.40            0.11
 34         3999039           25132           26.98           27.14            0.16
 35         3999039           25708           26.72           26.89            0.17
 36         3999039           26226           26.06           26.02           -0.04
 37         3999039           26845           26.18           26.41            0.22
 38         3999039           27226           25.55           25.61            0.06
 39         3999039           27738           25.96           26.16            0.20
 40         3999039           28129           24.88           25.05            0.17
