HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           23370           69.53           80.72           11.19
  4         3999039           31205           64.82           73.74            8.92
  5         3999039           38977           59.34           65.91            6.58
  6         3999039           46865           57.52           63.34            5.82
  7         3999039           54709           54.48           59.27            4.79
  8         3999039           62575           50.07           53.74            3.67
  9         3999039           70211           49.63           53.00            3.37
 10         3999039           78047           49.61           53.23            3.62
 11         3999039           85894           44.78           47.13            2.35
 12         3999039           93789           42.95           45.14            2.19
 13         3999039          101540           40.77           42.42            1.66
 14         3999039          109475           41.87           43.74            1.87
 15         3999039          117188           38.45           39.88            1.43
 16         3999039          125083           38.44           39.85            1.41
 17         3999039          132932           37.21           38.41            1.21
 18         3999039          140654           35.77           36.78            1.01
 19         3999039          148479           35.46           36.36            0.91
 20         3999039          156067           35.96           36.95            0.99
 21         3999039          163732           34.74           35.46            0.72
 22         3999039          171408           32.95           33.58            0.63
 23         3999039          179021           32.67           33.23            0.56
 24         3999039          186222           32.69           33.21            0.52
 25         3999039          193631           31.54           32.13            0.58
 26         3999039          200621           30.42           30.81            0.39
 27         3999039          207764           29.74           30.15            0.41
 28         3999039          214670           30.01           30.41            0.39
 29         3999039          221248           29.07           29.46            0.39
 30         3999039          227604           29.41           29.74            0.33
 31         3999039          233932           27.66           27.87            0.21
 32         3999039          240198           28.38           28.64            0.26
 33         3999039          245856           28.29           28.42            0.14
 34         3999039          251458           26.98           27.19            0.21
 35         3999039          256874           26.72           26.84            0.12
 36         3999039          262221           26.06           26.27            0.21
 37         3999039          267290           26.18           26.39            0.21
 38         3999039          272102           25.55           25.70            0.16
 39         3999039          277108           25.96           26.05            0.09
 40         3999039          280975           24.88           24.98            0.10
