HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           17543           69.53           80.71           11.18
  4         3999039           23426           64.82           73.78            8.96
  5         3999039           29197           59.34           65.89            6.55
  6         3999039           35103           57.52           63.41            5.89
  7         3999039           41049           54.48           59.27            4.79
  8         3999039           46913           50.07           53.69            3.62
  9         3999039           52663           49.63           52.96            3.32
 10         3999039           58572           49.61           53.26            3.66
 11         3999039           64422           44.78           47.13            2.36
 12         3999039           70372           42.95           45.11            2.16
 13         3999039           76253           40.77           42.41            1.64
 14         3999039           82107           41.87           43.77            1.90
 15         3999039           87939           38.45           39.86            1.41
 16         3999039           93835           38.44           39.87            1.42
 17         3999039           99791           37.21           38.43            1.22
 18         3999039          105531           35.77           36.76            0.99
 19         3999039          111398           35.46           36.38            0.92
 20         3999039          117031           35.96           36.95            0.99
 21         3999039          122817           34.74           35.46            0.72
 22         3999039          128632           32.95           33.57            0.62
 23         3999039          134212           32.67           33.23            0.56
 24         3999039          139695           32.69           33.22            0.53
 25         3999039          145287           31.54           32.14            0.59
 26         3999039          150439           30.42           30.79            0.37
 27         3999039          155841           29.74           30.19            0.45
 28         3999039          160985           30.01           30.43            0.41
 29         3999039          165934           29.07           29.46            0.40
 30         3999039          170700           29.41           29.73            0.32
 31         3999039          175423           27.66           27.85            0.19
 32         3999039          180188           28.38           28.65            0.27
 33         3999039          184469           28.29           28.44            0.15
 34         3999039          188681           26.98           27.21            0.23
 35         3999039          192820           26.72           26.82            0.09
 36         3999039          196609           26.06           26.27            0.22
 37         3999039          200580           26.18           26.40            0.22
 38         3999039          204113           25.55           25.70            0.16
 39         3999039          207974           25.96           26.06            0.09
 40         3999039          210851           24.88           24.99            0.11
