HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039          116992           69.53           80.63           11.10
  4         3999039          156276           64.82           73.75            8.92
  5         3999039          195182           59.34           65.88            6.54
  6         3999039          234262           57.52           63.34            5.82
  7         3999039          273102           54.48           59.22            4.74
  8         3999039          312452           50.07           53.75            3.68
  9         3999039          351369           49.63           52.96            3.32
 10         3999039          390421           49.61           53.28            3.67
 11         3999039          429630           44.78           47.10            2.33
 12         3999039          468941           42.95           45.09            2.14
 13         3999039          507705           40.77           42.41            1.64
 14         3999039          547000           41.87           43.69            1.82
 15         3999039          585935           38.45           39.77            1.32
 16         3999039          624696           38.44           39.79            1.34
 17         3999039          663643           37.21           38.32            1.11
 18         3999039          702409           35.77           36.71            0.95
 19         3999039          741178           35.46           36.32            0.86
 20         3999039          779805           35.96           36.91            0.95
 21         3999039          817422           34.74           35.46            0.72
 22         3999039          855439           32.95           33.55            0.60
 23         3999039          892003           32.67           33.19            0.52
 24         3999039          927888           32.69           33.16            0.47
 25         3999039          963819           31.54           32.00            0.46
 26         3999039          998030           30.42           30.83            0.41
 27         3999039         1031246           29.74           30.10            0.36
 28         3999039         1064158           30.01           30.37            0.36
 29         3999039         1095379           29.07           29.44            0.37
 30         3999039         1125235           29.41           29.72            0.31
 31         3999039         1154928           27.66           27.81            0.15
 32         3999039         1183100           28.38           28.63            0.26
 33         3999039         1210329           28.29           28.43            0.15
 34         3999039         1236240           26.98           27.16            0.18
 35         3999039         1261446           26.72           26.85            0.13
 36         3999039         1285034           26.06           26.24            0.18
 37         3999039         1307466           26.18           26.35            0.17
 38         3999039         1330239           25.55           25.65            0.10
 39         3999039         1350546           25.96           26.07            0.11
 40         3999039         1370293           24.88           24.96            0.08
