HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           46760           69.53           80.65           11.12
  4         3999039           62487           64.82           73.76            8.94
  5         3999039           78022           59.34           65.93            6.60
  6         3999039           93593           57.52           63.35            5.82
  7         3999039          109384           54.48           59.26            4.78
  8         3999039          124986           50.07           53.83            3.76
  9         3999039          140513           49.63           52.91            3.27
 10         3999039          155965           49.61           53.30            3.69
 11         3999039          171748           44.78           47.15            2.37
 12         3999039          187701           42.95           45.12            2.17
 13         3999039          203058           40.77           42.42            1.65
 14         3999039          218661           41.87           43.73            1.86
 15         3999039          234345           38.45           39.82            1.37
 16         3999039          250056           38.44           39.83            1.38
 17         3999039          265676           37.21           38.38            1.17
 18         3999039          281210           35.77           36.75            0.98
 19         3999039          296764           35.46           36.34            0.88
 20         3999039          312160           35.96           36.94            0.97
 21         3999039          327372           34.74           35.49            0.75
 22         3999039          342781           32.95           33.57            0.62
 23         3999039          357668           32.67           33.26            0.59
 24         3999039          372191           32.69           33.18            0.49
 25         3999039          387286           31.54           32.08            0.53
 26         3999039          401181           30.42           30.85            0.43
 27         3999039          414945           29.74           30.11            0.37
 28         3999039          428786           30.01           30.40            0.39
 29         3999039          442101           29.07           29.47            0.40
 30         3999039          454656           29.41           29.74            0.33
 31         3999039          467037           27.66           27.85            0.18
 32         3999039          479076           28.38           28.65            0.27
 33         3999039          490585           28.29           28.43            0.14
 34         3999039          501878           26.98           27.17            0.18
 35         3999039          512823           26.72           26.85            0.12
 36         3999039          522918           26.06           26.27            0.22
 37         3999039          532819           26.18           26.38            0.20
 38         3999039          542411           25.55           25.68            0.13
 39         3999039          551697           25.96           26.07            0.11
 40         3999039          560193           24.88           24.97            0.09
