HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039            5851           69.53           80.66           11.13
  4         3999039            7827           64.82           73.64            8.81
  5         3999039            9722           59.34           65.92            6.58
  6         3999039           11662           57.52           63.50            5.97
  7         3999039           13668           54.48           59.27            4.79
  8         3999039           15632           50.07           53.77            3.70
  9         3999039           17509           49.63           52.97            3.33
 10         3999039           19517           49.61           53.27            3.67
 11         3999039           21468           44.78           47.12            2.34
 12         3999039           23537           42.95           44.86            1.91
 13         3999039           25450           40.77           42.39            1.62
 14         3999039           27360           41.87           43.66            1.78
 15         3999039           29374           38.45           39.73            1.28
 16         3999039           31263           38.44           39.97            1.53
 17         3999039           33214           37.21           38.44            1.24
 18         3999039           35286           35.77           36.80            1.03
 19         3999039           37103           35.46           36.46            1.00
 20         3999039           39061           35.96           36.85            0.89
 21         3999039           41011           34.74           35.39            0.65
 22         3999039           42888           32.95           33.64            0.69
 23         3999039           44788           32.67           33.16            0.49
 24         3999039           46583           32.69           33.19            0.50
 25         3999039           48372           31.54           32.14            0.60
 26         3999039           50230           30.42           30.75            0.33
 27         3999039           52021           29.74           30.17            0.43
 28         3999039           53707           30.01           30.49            0.48
 29         3999039           55344           29.07           29.41            0.34
 30         3999039           56758           29.41           29.71            0.30
 31         3999039           58456           27.66           27.82            0.16
 32         3999039           60155           28.38           28.69            0.31
 33         3999039           61448           28.29           28.34            0.05
 34         3999039           62965           26.98           27.20            0.22
 35         3999039           64261           26.72           26.83            0.11
 36         3999039           65452           26.06           26.29            0.23
 37         3999039           66945           26.18           26.37            0.18
 38         3999039           68068           25.55           25.72            0.17
 39         3999039           69336           25.96           26.05            0.09
 40         3999039           70377           24.88           25.00            0.12
