****************** Hamming Weight = 3 ******************
Iteration 3: NoMOD % = 32.71%
Iteration 4: NoMOD % = 32.71%
Iteration 5: NoMOD % = 32.65%
Iteration 6: NoMOD % = 32.70%
Iteration 7: NoMOD % = 32.68%
Iteration 8: NoMOD % = 32.73%
Iteration 9: NoMOD % = 32.70%
Iteration 10: NoMOD % = 32.68%
Average NoMOD % for HW=16: 32.69%



****************** Hamming Weight = 17 ******************
Iteration 1: NoMOD % = 31.83%
Iteration 2: NoMOD % = 31.81%
Iteration 3: NoMOD % = 31.88%
Iteration 4: NoMOD % = 31.79%
Iteration 5: NoMOD % = 31.79%
Iteration 6: NoMOD % = 31.83%
Iteration 7: NoMOD % = 31.81%
Iteration 8: NoMOD % = 31.80%
Iteration 9: NoMOD % = 31.77%
Iteration 10: NoMOD % = 31.80%
Average NoMOD % for HW=17: 31.81%



****************** Hamming Weight = 18 ******************
Iteration 1: NoMOD % = 31.01%
Iteration 2: NoMOD % = 30.97%
Iteration 3: NoMOD % = 30.98%
Iteration 4: NoMOD % = 31.00%
Iteration 5: NoMOD % = 31.03%
Iteration 6: NoMOD % = 31.01%
Iteration 7: NoMOD % = 31.09%
Iteration 8: NoMOD % = 31.03%
Iteration 9: NoMOD % = 31.00%
Iteration 10: NoMOD % = 31.00%
Average NoMOD % for HW=18: 31.01%



****************** Hamming Weight = 19 ******************
Iteration 1: NoMOD % = 30.22%
Iteration 2: NoMOD % = 30.31%
Iteration 3: NoMOD % = 30.29%
Iteration 4: NoMOD % = 30.28%
Iteration 5: NoMOD % = 30.20%
Iteration 6: NoMOD % = 30.25%
Iteration 7: NoMOD % = 30.25%
Iteration 8: NoMOD % = 30.22%
Iteration 9: NoMOD % = 30.26%
Iteration 10: NoMOD % = 30.24%
Average NoMOD % for HW=19: 30.25%



****************** Hamming Weight = 20 ******************
Iteration 1: NoMOD % = 29.54%
Iteration 2: NoMOD % = 29.51%
Iteration 3: NoMOD % = 29.54%
Iteration 4: NoMOD % = 29.54%
Iteration 5: NoMOD % = 29.54%
Iteration 6: NoMOD % = 29.56%
Iteration 7: NoMOD % = 29.55%
Iteration 8: NoMOD % = 29.54%
Iteration 9: NoMOD % = 29.59%
Iteration 10: NoMOD % = 29.53%
Average NoMOD % for HW=20: 29.54%



****************** Hamming Weight = 21 ******************
Iteration 1: NoMOD % = 28.91%
Iteration 2: NoMOD % = 28.93%
Iteration 3: NoMOD % = 28.88%
Iteration 4: NoMOD % = 28.96%
Iteration 5: NoMOD % = 28.91%
Iteration 6: NoMOD % = 28.92%
Iteration 7: NoMOD % = 28.90%
Iteration 8: NoMOD % = 28.90%
Iteration 9: NoMOD % = 28.89%
Iteration 10: NoMOD % = 28.87%
Average NoMOD % for HW=21: 28.91%



****************** Hamming Weight = 22 ******************
Iteration 1: NoMOD % = 28.31%
Iteration 2: NoMOD % = 28.29%
Iteration 3: NoMOD % = 28.28%
Iteration 4: NoMOD % = 28.28%
Iteration 5: NoMOD % = 28.31%
Iteration 6: NoMOD % = 28.25%
Iteration 7: NoMOD % = 28.26%
Iteration 8: NoMOD % = 28.25%
Iteration 9: NoMOD % = 28.31%
Iteration 10: NoMOD % = 28.31%
Average NoMOD % for HW=22: 28.29%



****************** Hamming Weight = 23 ******************
Iteration 1: NoMOD % = 27.68%
Iteration 2: NoMOD % = 27.69%
Iteration 3: NoMOD % = 27.73%
Iteration 4: NoMOD % = 27.67%
Iteration 5: NoMOD % = 27.73%
Iteration 6: NoMOD % = 27.74%
Iteration 7: NoMOD % = 27.71%
Iteration 8: NoMOD % = 27.71%
Iteration 9: NoMOD % = 27.73%
Iteration 10: NoMOD % = 27.72%
Average NoMOD % for HW=23: 27.71%



****************** Hamming Weight = 24 ******************
Iteration 1: NoMOD % = 27.19%
Iteration 2: NoMOD % = 27.13%
Iteration 3: NoMOD % = 27.15%
Iteration 4: NoMOD % = 27.16%
Iteration 5: NoMOD % = 27.17%
Iteration 6: NoMOD % = 27.19%
Iteration 7: NoMOD % = 27.20%
Iteration 8: NoMOD % = 27.17%
Iteration 9: NoMOD % = 27.22%
Iteration 10: NoMOD % = 27.16%
Average NoMOD % for HW=24: 27.17%



****************** Hamming Weight = 25 ******************
Iteration 1: NoMOD % = 26.64%
Iteration 2: NoMOD % = 26.65%
Iteration 3: NoMOD % = 26.66%
Iteration 4: NoMOD % = 26.65%
Iteration 5: NoMOD % = 26.68%
Iteration 6: NoMOD % = 26.67%
Iteration 7: NoMOD % = 26.65%
Iteration 8: NoMOD % = 26.64%
Iteration 9: NoMOD % = 26.71%
Iteration 10: NoMOD % = 26.63%
Average NoMOD % for HW=25: 26.66%



****************** Hamming Weight = 26 ******************
Iteration 1: NoMOD % = 26.18%
Iteration 2: NoMOD % = 26.21%
Iteration 3: NoMOD % = 26.17%
Iteration 4: NoMOD % = 26.19%
Iteration 5: NoMOD % = 26.22%
Iteration 6: NoMOD % = 26.19%
Iteration 7: NoMOD % = 26.18%
Iteration 8: NoMOD % = 26.21%
Iteration 9: NoMOD % = 26.16%
Iteration 10: NoMOD % = 26.20%
Average NoMOD % for HW=26: 26.19%



****************** Hamming Weight = 27 ******************
Iteration 1: NoMOD % = 25.70%
Iteration 2: NoMOD % = 25.75%
Iteration 3: NoMOD % = 25.73%
Iteration 4: NoMOD % = 25.75%
Iteration 5: NoMOD % = 25.71%
Iteration 6: NoMOD % = 25.73%
Iteration 7: NoMOD % = 25.69%
Iteration 8: NoMOD % = 25.72%
Iteration 9: NoMOD % = 25.74%
Iteration 10: NoMOD % = 25.75%
Average NoMOD % for HW=27: 25.73%



****************** Hamming Weight = 28 ******************
