HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039          234333           69.54           80.71           11.18
  4         3999039          312570           65.71           75.28            9.57
  5         3999039          390358           61.19           68.85            7.66
  6         3999039          468481           57.12           62.88            5.76
  7         3999039          546735           50.48           54.43            3.96
  8         3999039          624671           49.41           53.11            3.70
  9         3999039          703053           47.35           50.56            3.20
 10         3999039          781039           46.11           49.11            3.00
 11         3999039          858678           46.27           49.29            3.02
 12         3999039          936790           43.85           46.40            2.55
 13         3999039         1015804           41.22           43.33            2.11
 14         3999039         1093474           40.97           43.07            2.10
 15         3999039         1171613           39.07           40.88            1.81
 16         3999039         1249178           37.16           38.77            1.61
 17         3999039         1326077           38.27           39.99            1.72
 18         3999039         1402822           35.92           37.40            1.48
 19         3999039         1477965           35.39           36.79            1.40
 20         3999039         1552402           35.50           36.90            1.39
 21         3999039         1624916           33.36           34.57            1.21
 22         3999039         1694390           32.59           33.71            1.13
 23         3999039         1762120           33.88           35.08            1.20
 24         3999039         1827860           31.78           32.84            1.06
 25         3999039         1890262           31.28           32.32            1.04
 26         3999039         1950387           31.32           32.33            1.02
 27         3999039         2008017           30.98           31.96            0.98
 28         3999039         2062624           29.75           30.68            0.93
 29         3999039         2114782           29.69           30.60            0.91
 30         3999039         2163520           28.18           29.02            0.84
 31         3999039         2210894           28.08           28.90            0.83
 32         3999039         2254727           27.47           28.27            0.80
 33         3999039         2296561           27.89           28.70            0.80
 34         3999039         2336668           28.08           28.87            0.79
 35         3999039         2374016           27.40           28.16            0.77
 36         3999039         2409277           26.83           27.58            0.75
 37         3999039         2442560           26.02           26.74            0.72
 38         3999039         2473753           26.20           26.92            0.72
 39         3999039         2504565           25.30           26.00            0.70
 40         3999039         2532692           25.29           25.97            0.68
