HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039            5855           69.54           80.94           11.40
  4         3999039            7806           65.71           75.45            9.74
  5         3999039            9791           61.19           69.24            8.05
  6         3999039           11752           57.12           62.97            5.85
  7         3999039           13653           50.48           54.36            3.88
  8         3999039           15605           49.41           53.30            3.89
  9         3999039           17608           47.35           50.86            3.51
 10         3999039           19450           46.11           49.31            3.20
 11         3999039           21440           46.27           49.51            3.24
 12         3999039           23417           43.85           46.39            2.54
 13         3999039           25473           41.22           43.42            2.20
 14         3999039           27320           40.97           43.26            2.29
 15         3999039           29297           39.07           41.01            1.94
 16         3999039           31274           37.16           38.91            1.75
 17         3999039           33196           38.27           40.18            1.92
 18         3999039           35052           35.92           37.46            1.54
 19         3999039           37076           35.39           36.86            1.47
 20         3999039           39043           35.50           37.02            1.51
 21         3999039           40933           33.36           34.75            1.39
 22         3999039           42809           32.59           33.87            1.28
 23         3999039           44631           33.88           35.43            1.55
 24         3999039           46602           31.78           33.01            1.23
 25         3999039           48436           31.28           32.48            1.20
 26         3999039           50316           31.32           32.56            1.25
 27         3999039           51897           30.98           32.10            1.12
 28         3999039           53630           29.75           30.76            1.01
 29         3999039           55268           29.69           30.90            1.21
 30         3999039           56988           28.18           29.27            1.09
 31         3999039           58438           28.08           29.11            1.03
 32         3999039           59922           27.47           28.59            1.12
 33         3999039           61572           27.89           28.97            1.08
 34         3999039           63019           28.08           29.15            1.07
 35         3999039           64175           27.40           28.49            1.10
 36         3999039           65504           26.83           27.82            0.99
 37         3999039           66940           26.02           27.05            1.03
 38         3999039           68040           26.20           27.12            0.91
 39         3999039           69197           25.30           26.26            0.96
 40         3999039           70475           25.29           26.21            0.92
