HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039            2324           69.54           80.75           11.22
  4         3999039            3122           65.71           75.38            9.67
  5         3999039            3907           61.19           69.41            8.21
  6         3999039            4702           57.12           63.06            5.94
  7         3999039            5483           50.48           54.00            3.52
  8         3999039            6234           49.41           53.15            3.75
  9         3999039            7052           47.35           50.62            3.27
 10         3999039            7790           46.11           49.27            3.16
 11         3999039            8577           46.27           49.78            3.51
 12         3999039            9345           43.85           46.36            2.51
 13         3999039           10203           41.22           43.57            2.35
 14         3999039           10940           40.97           43.36            2.39
 15         3999039           11713           39.07           40.96            1.89
 16         3999039           12549           37.16           38.91            1.75
 17         3999039           13288           38.27           40.28            2.01
 18         3999039           14058           35.92           37.56            1.64
 19         3999039           14840           35.39           36.91            1.52
 20         3999039           15604           35.50           37.10            1.60
 21         3999039           16406           33.36           34.70            1.34
 22         3999039           17104           32.59           33.94            1.35
 23         3999039           17831           33.88           35.41            1.53
 24         3999039           18597           31.78           32.98            1.20
 25         3999039           19359           31.28           32.56            1.28
 26         3999039           20045           31.32           32.61            1.29
 27         3999039           20776           30.98           32.03            1.05
 28         3999039           21422           29.75           30.70            0.94
 29         3999039           22182           29.69           30.87            1.18
 30         3999039           22813           28.18           29.38            1.20
 31         3999039           23377           28.08           29.17            1.09
 32         3999039           23985           27.47           28.69            1.22
 33         3999039           24584           27.89           28.95            1.06
 34         3999039           25211           28.08           29.12            1.03
 35         3999039           25718           27.40           28.56            1.16
 36         3999039           26134           26.83           27.72            0.89
 37         3999039           26872           26.02           27.02            0.99
 38         3999039           27215           26.20           27.11            0.91
 39         3999039           27674           25.30           26.24            0.94
 40         3999039           28162           25.29           26.18            0.89
