HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039          117269           69.54           80.71           11.17
  4         3999039          156103           65.71           75.34            9.63
  5         3999039          195275           61.19           68.87            7.68
  6         3999039          234177           57.12           62.93            5.81
  7         3999039          273462           50.48           54.52            4.04
  8         3999039          312214           49.41           53.18            3.78
  9         3999039          351534           47.35           50.63            3.28
 10         3999039          390858           46.11           49.22            3.11
 11         3999039          429256           46.27           49.39            3.12
 12         3999039          468492           43.85           46.50            2.65
 13         3999039          507968           41.22           43.44            2.22
 14         3999039          546636           40.97           43.19            2.22
 15         3999039          586085           39.07           40.99            1.92
 16         3999039          625006           37.16           38.89            1.72
 17         3999039          663328           38.27           40.13            1.86
 18         3999039          702423           35.92           37.53            1.61
 19         3999039          740841           35.39           36.93            1.54
 20         3999039          779908           35.50           37.07            1.57
 21         3999039          818026           33.36           34.68            1.32
 22         3999039          855036           32.59           33.86            1.27
 23         3999039          891685           33.88           35.26            1.38
 24         3999039          927914           31.78           32.99            1.20
 25         3999039          963231           31.28           32.48            1.20
 26         3999039          997828           31.32           32.49            1.17
 27         3999039         1031230           30.98           32.12            1.14
 28         3999039         1063764           29.75           30.84            1.09
 29         3999039         1095349           29.69           30.77            1.09
 30         3999039         1125553           28.18           29.19            1.01
 31         3999039         1155292           28.08           29.07            0.99
 32         3999039         1183089           27.47           28.44            0.97
 33         3999039         1210163           27.89           28.87            0.98
 34         3999039         1236101           28.08           29.07            0.98
 35         3999039         1261099           27.40           28.36            0.97
 36         3999039         1284701           26.83           27.77            0.93
 37         3999039         1307575           26.02           26.93            0.90
 38         3999039         1329877           26.20           27.11            0.91
 39         3999039         1350797           25.30           26.18            0.88
 40         3999039         1371025           25.29           26.15            0.87
