HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           23454           69.54           80.81           11.27
  4         3999039           31211           65.71           75.33            9.63
  5         3999039           39138           61.19           68.98            7.78
  6         3999039           46806           57.12           62.92            5.80
  7         3999039           54774           50.48           54.49            4.02
  8         3999039           62452           49.41           53.27            3.87
  9         3999039           70249           47.35           50.73            3.37
 10         3999039           78097           46.11           49.28            3.17
 11         3999039           85833           46.27           49.43            3.16
 12         3999039           93725           43.85           46.49            2.64
 13         3999039          101667           41.22           43.41            2.19
 14         3999039          109448           40.97           43.17            2.20
 15         3999039          117162           39.07           41.03            1.96
 16         3999039          125108           37.16           38.93            1.77
 17         3999039          132579           38.27           40.23            1.96
 18         3999039          140489           35.92           37.50            1.59
 19         3999039          148233           35.39           36.98            1.59
 20         3999039          156107           35.50           37.09            1.59
 21         3999039          163821           33.36           34.72            1.36
 22         3999039          171289           32.59           33.84            1.26
 23         3999039          178817           33.88           35.32            1.44
 24         3999039          186203           31.78           33.04            1.26
 25         3999039          193569           31.28           32.51            1.23
 26         3999039          200844           31.32           32.52            1.20
 27         3999039          207663           30.98           32.19            1.21
 28         3999039          214473           29.75           30.88            1.13
 29         3999039          221114           29.69           30.84            1.16
 30         3999039          227850           28.18           29.22            1.04
 31         3999039          233894           28.08           29.09            1.01
 32         3999039          239984           27.47           28.50            1.03
 33         3999039          245711           27.89           28.95            1.06
 34         3999039          251567           28.08           29.13            1.05
 35         3999039          256871           27.40           28.43            1.03
 36         3999039          262121           26.83           27.82            0.99
 37         3999039          267239           26.02           27.00            0.98
 38         3999039          272044           26.20           27.17            0.97
 39         3999039          276821           25.30           26.25            0.94
 40         3999039          281506           25.29           26.25            0.96
