HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           17558           69.54           80.80           11.26
  4         3999039           23444           65.71           75.33            9.62
  5         3999039           29355           61.19           69.04            7.85
  6         3999039           35139           57.12           62.96            5.84
  7         3999039           41081           50.48           54.54            4.06
  8         3999039           46815           49.41           53.29            3.88
  9         3999039           52755           47.35           50.70            3.35
 10         3999039           58500           46.11           49.25            3.14
 11         3999039           64383           46.27           49.41            3.14
 12         3999039           70301           43.85           46.49            2.64
 13         3999039           76255           41.22           43.38            2.16
 14         3999039           82040           40.97           43.24            2.27
 15         3999039           87816           39.07           40.99            1.92
 16         3999039           93815           37.16           38.92            1.75
 17         3999039           99396           38.27           40.25            1.98
 18         3999039          105371           35.92           37.49            1.57
 19         3999039          111140           35.39           36.98            1.59
 20         3999039          117069           35.50           37.09            1.59
 21         3999039          122861           33.36           34.71            1.35
 22         3999039          128504           32.59           33.83            1.24
 23         3999039          134048           33.88           35.32            1.44
 24         3999039          139751           31.78           33.02            1.24
 25         3999039          145170           31.28           32.52            1.24
 26         3999039          150685           31.32           32.50            1.19
 27         3999039          155787           30.98           32.17            1.20
 28         3999039          160790           29.75           30.85            1.10
 29         3999039          165748           29.69           30.83            1.15
 30         3999039          170901           28.18           29.21            1.03
 31         3999039          175478           28.08           29.09            1.02
 32         3999039          179995           27.47           28.53            1.06
 33         3999039          184374           27.89           28.98            1.09
 34         3999039          188697           28.08           29.09            1.01
 35         3999039          192541           27.40           28.45            1.05
 36         3999039          196624           26.83           27.82            0.99
 37         3999039          200554           26.02           27.03            1.01
 38         3999039          204121           26.20           27.19            0.98
 39         3999039          207638           25.30           26.23            0.93
 40         3999039          211165           25.29           26.23            0.94
