HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3999039           46905           69.54           80.74           11.20
  4         3999039           62470           65.71           75.34            9.63
  5         3999039           78163           61.19           68.95            7.76
  6         3999039           93709           57.12           62.89            5.77
  7         3999039          109466           50.48           54.49            4.01
  8         3999039          124814           49.41           53.26            3.85
  9         3999039          140595           47.35           50.68            3.32
 10         3999039          156392           46.11           49.24            3.14
 11         3999039          171729           46.27           49.40            3.13
 12         3999039          187431           43.85           46.52            2.67
 13         3999039          203145           41.22           43.42            2.20
 14         3999039          218679           40.97           43.14            2.17
 15         3999039          234355           39.07           41.03            1.96
 16         3999039          250160           37.16           38.92            1.76
 17         3999039          265358           38.27           40.22            1.95
 18         3999039          281060           35.92           37.54            1.62
 19         3999039          296299           35.39           36.97            1.59
 20         3999039          312173           35.50           37.11            1.61
 21         3999039          327530           33.36           34.70            1.34
 22         3999039          342715           32.59           33.90            1.31
 23         3999039          357428           33.88           35.33            1.45
 24         3999039          372156           31.78           33.04            1.26
 25         3999039          386962           31.28           32.53            1.25
 26         3999039          401499           31.32           32.55            1.24
 27         3999039          415066           30.98           32.17            1.19
 28         3999039          428535           29.75           30.91            1.16
 29         3999039          441986           29.69           30.83            1.14
 30         3999039          454902           28.18           29.24            1.06
 31         3999039          467229           28.08           29.09            1.02
 32         3999039          479050           27.47           28.48            1.01
 33         3999039          490705           27.89           28.93            1.04
 34         3999039          501973           28.08           29.13            1.05
 35         3999039          512546           27.40           28.44            1.05
 36         3999039          522867           26.83           27.82            0.98
 37         3999039          532941           26.02           27.00            0.97
 38         3999039          542393           26.20           27.18            0.98
 39         3999039          551677           25.30           26.22            0.92
 40         3999039          560706           25.29           26.21            0.92
