****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 49.10%
Iteration 2: NoMOD % = 56.37%
Iteration 3: NoMOD % = 56.61%
Iteration 4: NoMOD % = 56.69%
Iteration 5: NoMOD % = 56.37%
Iteration 6: NoMOD % = 46.32%
Iteration 7: NoMOD % = 49.13%
Iteration 8: NoMOD % = 49.17%
Iteration 9: NoMOD % = 68.66%
Iteration 10: NoMOD % = 60.89%
Average NoMOD % for HW=7: 54.93%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 52.17%
Iteration 2: NoMOD % = 52.36%
Iteration 3: NoMOD % = 48.99%
Iteration 4: NoMOD % = 46.33%
Iteration 5: NoMOD % = 52.33%
Iteration 6: NoMOD % = 49.07%
Iteration 7: NoMOD % = 52.19%
Iteration 8: NoMOD % = 56.46%
Iteration 9: NoMOD % = 46.41%
Iteration 10: NoMOD % = 46.22%
Average NoMOD % for HW=8: 50.25%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 46.18%
Iteration 2: NoMOD % = 43.90%
Iteration 3: NoMOD % = 48.96%
Iteration 4: NoMOD % = 52.26%
Iteration 5: NoMOD % = 46.20%
Iteration 6: NoMOD % = 48.69%
Iteration 7: NoMOD % = 48.95%
Iteration 8: NoMOD % = 48.95%
Iteration 9: NoMOD % = 48.93%
Iteration 10: NoMOD % = 43.90%
Average NoMOD % for HW=9: 47.69%



****************** Hamming Weight = 10 ******************
Iteration 1: NoMOD % = 52.18%
Iteration 2: NoMOD % = 48.83%
Iteration 3: NoMOD % = 43.79%
Iteration 4: NoMOD % = 46.10%
Iteration 5: NoMOD % = 41.87%
Iteration 6: NoMOD % = 51.98%
Iteration 7: NoMOD % = 46.14%
Iteration 8: NoMOD % = 43.75%
Iteration 9: NoMOD % = 52.10%
Iteration 10: NoMOD % = 43.79%
Average NoMOD % for HW=10: 47.05%



****************** Hamming Weight = 11 ******************
Iteration 1: NoMOD % = 48.75%
Iteration 2: NoMOD % = 42.58%
Iteration 3: NoMOD % = 41.76%
Iteration 4: NoMOD % = 46.70%
Iteration 5: NoMOD % = 41.79%
Iteration 6: NoMOD % = 45.78%
Iteration 7: NoMOD % = 41.79%
Iteration 8: NoMOD % = 40.00%
Iteration 9: NoMOD % = 46.45%
Iteration 10: NoMOD % = 43.67%
Average NoMOD % for HW=11: 43.93%



