****************** Hamming Weight = 3 ******************
Iteration 1: NoMOD % = 70.13%
Iteration 2: NoMOD % = 62.74%
Iteration 3: NoMOD % = 70.18%
Iteration 4: NoMOD % = 70.15%
Iteration 5: NoMOD % = 62.83%
Iteration 6: NoMOD % = 81.71%
Iteration 7: NoMOD % = 81.82%
Iteration 8: NoMOD % = 62.82%
Iteration 9: NoMOD % = 70.23%
Iteration 10: NoMOD % = 62.72%
Average NoMOD % for HW=3: 69.53%



****************** Hamming Weight = 4 ******************
Iteration 1: NoMOD % = 62.63%
Iteration 2: NoMOD % = 67.85%
Iteration 3: NoMOD % = 81.31%
Iteration 4: NoMOD % = 69.98%
Iteration 5: NoMOD % = 62.67%
Iteration 6: NoMOD % = 57.00%
Iteration 7: NoMOD % = 57.13%
Iteration 8: NoMOD % = 70.01%
Iteration 9: NoMOD % = 62.57%
Iteration 10: NoMOD % = 57.10%
Average NoMOD % for HW=4: 64.82%



****************** Hamming Weight = 5 ******************
Iteration 1: NoMOD % = 52.81%
Iteration 2: NoMOD % = 56.99%
Iteration 3: NoMOD % = 52.82%
Iteration 4: NoMOD % = 52.79%
Iteration 5: NoMOD % = 69.35%
Iteration 6: NoMOD % = 56.98%
Iteration 7: NoMOD % = 62.45%
Iteration 8: NoMOD % = 69.64%
Iteration 9: NoMOD % = 57.08%
Iteration 10: NoMOD % = 62.45%
Average NoMOD % for HW=5: 59.34%



****************** Hamming Weight = 6 ******************
Iteration 1: NoMOD % = 69.41%
Iteration 2: NoMOD % = 54.97%
Iteration 3: NoMOD % = 56.83%
Iteration 4: NoMOD % = 61.94%
Iteration 5: NoMOD % = 56.93%
Iteration 6: NoMOD % = 51.99%
Iteration 7: NoMOD % = 56.91%
Iteration 8: NoMOD % = 56.76%
Iteration 9: NoMOD % = 52.67%
Iteration 10: NoMOD % = 56.78%
Average NoMOD % for HW=6: 57.52%



****************** Hamming Weight = 7 ******************
Iteration 1: NoMOD % = 56.74%
Iteration 2: NoMOD % = 56.31%
Iteration 3: NoMOD % = 52.68%
Iteration 4: NoMOD % = 49.23%
Iteration 5: NoMOD % = 49.30%
Iteration 6: NoMOD % = 52.62%
Iteration 7: NoMOD % = 56.48%
Iteration 8: NoMOD % = 56.71%
Iteration 9: NoMOD % = 52.60%
Iteration 10: NoMOD % = 62.13%
Average NoMOD % for HW=7: 54.48%



****************** Hamming Weight = 8 ******************
Iteration 1: NoMOD % = 44.05%
Iteration 2: NoMOD % = 52.52%
Iteration 3: NoMOD % = 49.18%
Iteration 4: NoMOD % = 46.37%
Iteration 5: NoMOD % = 52.57%
Iteration 6: NoMOD % = 48.98%
Iteration 7: NoMOD % = 46.39%
Iteration 8: NoMOD % = 61.78%
Iteration 9: NoMOD % = 52.48%
Iteration 10: NoMOD % = 46.36%
Average NoMOD % for HW=8: 50.07%



****************** Hamming Weight = 9 ******************
Iteration 1: NoMOD % = 56.60%
Iteration 2: NoMOD % = 46.36%
Iteration 3: NoMOD % = 49.09%
Iteration 4: NoMOD % = 46.36%
Iteration 5: NoMOD % = 52.41%
Iteration 6: NoMOD % = 52.47%
Iteration 7: NoMOD % = 49.09%
Iteration 8: NoMOD % = 45.86%
Iteration 9: NoMOD % = 49.08%
Iteration 10: NoMOD % = 49.03%
Average NoMOD % for HW=9: 49.63%



****************** Hamming Weight = 10 ******************
Iteration 1: NoMOD % = 67.83%
Iteration 2: NoMOD % = 46.16%
Iteration 3: NoMOD % = 46.37%
Iteration 4: NoMOD % = 52.34%
Iteration 5: NoMOD % = 49.09%
Iteration 6: NoMOD % = 56.44%
Iteration 7: NoMOD % = 43.93%
Iteration 8: NoMOD % = 43.74%
Iteration 9: NoMOD % = 43.89%
Iteration 10: NoMOD % = 46.29%
Average NoMOD % for HW=10: 49.61%



****************** Hamming Weight = 11 ******************
Iteration 1: NoMOD % = 43.80%
Iteration 2: NoMOD % = 41.70%
Iteration 3: NoMOD % = 43.81%
Iteration 4: NoMOD % = 46.14%
Iteration 5: NoMOD % = 48.87%
Iteration 6: NoMOD % = 48.94%
Iteration 7: NoMOD % = 43.76%
Iteration 8: NoMOD % = 40.06%
Iteration 9: NoMOD % = 48.91%
Iteration 10: NoMOD % = 41.79%
Average NoMOD % for HW=11: 44.78%



****************** Hamming Weight = 12 ******************
Iteration 1: NoMOD % = 46.09%
Iteration 2: NoMOD % = 51.90%
Iteration 3: NoMOD % = 40.07%
Iteration 4: NoMOD % = 43.87%
Iteration 5: NoMOD % = 40.06%
Iteration 6: NoMOD % = 48.54%
Iteration 7: NoMOD % = 40.11%
Iteration 8: NoMOD % = 38.53%
Iteration 9: NoMOD % = 41.78%
Iteration 10: NoMOD % = 38.54%
Average NoMOD % for HW=12: 42.95%



****************** Hamming Weight = 13 ******************
Iteration 1: NoMOD % = 41.64%
Iteration 2: NoMOD % = 38.33%
Iteration 3: NoMOD % = 40.01%
Iteration 4: NoMOD % = 38.46%
Iteration 5: NoMOD % = 38.48%
Iteration 6: NoMOD % = 38.45%
Iteration 7: NoMOD % = 48.71%
Iteration 8: NoMOD % = 43.57%
Iteration 9: NoMOD % = 38.46%
Iteration 10: NoMOD % = 41.59%
Average NoMOD % for HW=13: 40.77%



****************** Hamming Weight = 14 ******************
Iteration 1: NoMOD % = 43.71%
Iteration 2: NoMOD % = 41.73%
Iteration 3: NoMOD % = 41.60%
Iteration 4: NoMOD % = 39.97%
Iteration 5: NoMOD % = 35.83%
Iteration 6: NoMOD % = 43.67%
Iteration 7: NoMOD % = 37.07%
Iteration 8: NoMOD % = 51.54%
Iteration 9: NoMOD % = 43.67%
Iteration 10: NoMOD % = 39.93%
Average NoMOD % for HW=14: 41.87%



****************** Hamming Weight = 15 ******************
Iteration 1: NoMOD % = 36.98%
Iteration 2: NoMOD % = 35.79%
Iteration 3: NoMOD % = 34.64%
Iteration 4: NoMOD % = 38.34%
Iteration 5: NoMOD % = 37.05%
Iteration 6: NoMOD % = 43.54%
Iteration 7: NoMOD % = 39.85%
Iteration 8: NoMOD % = 39.93%
Iteration 9: NoMOD % = 39.95%
Iteration 10: NoMOD % = 38.40%
Average NoMOD % for HW=15: 38.45%



****************** Hamming Weight = 16 ******************
Iteration 1: NoMOD % = 38.38%
Iteration 2: NoMOD % = 37.00%
Iteration 3: NoMOD % = 41.61%
Iteration 4: NoMOD % = 36.99%
Iteration 5: NoMOD % = 36.97%
Iteration 6: NoMOD % = 38.38%
Iteration 7: NoMOD % = 39.49%
