HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090          193344           68.79           79.32           10.53
  4         3297090          257716           64.65           73.16            8.51
  5         3297090          321881           57.39           62.90            5.51
  6         3297090          386400           57.76           63.55            5.79
  7         3297090          450958           54.21           58.85            4.64
  8         3297090          515265           49.07           52.26            3.18
  9         3297090          579649           47.16           49.99            2.83
 10         3297090          644172           46.80           49.46            2.66
 11         3297090          708192           43.70           45.86            2.16
 12         3297090          773084           43.92           46.10            2.17
 13         3297090          837314           42.33           43.99            1.67
 14         3297090          901707           39.55           40.90            1.35
 15         3297090          965764           38.63           39.91            1.28
 16         3297090         1029537           36.23           37.17            0.94
 17         3297090         1093181           36.44           37.38            0.94
 18         3297090         1156092           35.85           36.71            0.86
 19         3297090         1217337           34.76           35.48            0.73
 20         3297090         1278197           33.41           33.95            0.54
 21         3297090         1337510           33.83           34.31            0.49
 22         3297090         1394446           32.56           33.01            0.45
 23         3297090         1449914           32.72           33.22            0.50
 24         3297090         1503401           30.76           31.14            0.37
 25         3297090         1554175           31.23           31.58            0.35
 26         3297090         1602871           30.63           30.93            0.29
 27         3297090         1648734           30.83           31.17            0.34
 28         3297090         1693125           29.87           30.15            0.27
 29         3297090         1735356           27.93           28.12            0.18
 30         3297090         1774606           28.62           28.80            0.18
 31         3297090         1812512           28.37           28.57            0.20
 32         3297090         1848288           27.06           27.19            0.13
 33         3297090         1881832           26.59           26.73            0.14
 34         3297090         1913194           26.01           26.12            0.10
 35         3297090         1943660           26.44           26.55            0.11
 36         3297090         1971761           25.83           25.92            0.09
 37         3297090         1998999           25.64           25.76            0.13
 38         3297090         2024443           26.25           26.40            0.15
 39         3297090         2048122           25.16           25.23            0.06
 40         3297090         2071268           24.45           24.53            0.07
