HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            9702           68.79           79.26           10.47
  4         3297090           12892           64.65           72.95            8.31
  5         3297090           16074           57.39           62.86            5.46
  6         3297090           19294           57.76           63.75            5.99
  7         3297090           22455           54.21           58.81            4.59
  8         3297090           25757           49.07           52.17            3.10
  9         3297090           28918           47.16           50.11            2.95
 10         3297090           32209           46.80           49.74            2.94
 11         3297090           35437           43.70           46.02            2.32
 12         3297090           38739           43.92           46.17            2.24
 13         3297090           41898           42.33           44.29            1.97
 14         3297090           45041           39.55           41.14            1.60
 15         3297090           48297           38.63           40.01            1.38
 16         3297090           51532           36.23           37.27            1.04
 17         3297090           54749           36.44           37.52            1.08
 18         3297090           57836           35.85           36.73            0.88
 19         3297090           61154           34.76           35.61            0.85
 20         3297090           64230           33.41           34.08            0.66
 21         3297090           67450           33.83           34.40            0.57
 22         3297090           70690           32.56           33.07            0.51
 23         3297090           73680           32.72           33.43            0.71
 24         3297090           76770           30.76           31.15            0.39
 25         3297090           79731           31.23           31.71            0.48
 26         3297090           82666           30.63           31.03            0.40
 27         3297090           85400           30.83           31.31            0.48
 28         3297090           88417           29.87           30.24            0.36
 29         3297090           91082           27.93           28.14            0.20
 30         3297090           93511           28.62           28.93            0.31
 31         3297090           95817           28.37           28.62            0.25
 32         3297090           98586           27.06           27.22            0.16
 33         3297090          100770           26.59           26.77            0.18
 34         3297090          102895           26.01           26.14            0.13
 35         3297090          105178           26.44           26.65            0.20
 36         3297090          107458           25.83           25.95            0.12
 37         3297090          109462           25.64           25.84            0.20
 38         3297090          111395           26.25           26.47            0.22
 39         3297090          113164           25.16           25.25            0.09
 40         3297090          114882           24.45           24.55            0.09
