HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           96694           68.79           79.34           10.55
  4         3297090          128848           64.65           73.19            8.55
  5         3297090          160950           57.39           62.94            5.55
  6         3297090          193193           57.76           63.63            5.87
  7         3297090          225354           54.21           58.93            4.72
  8         3297090          257516           49.07           52.28            3.21
  9         3297090          289804           47.16           50.08            2.92
 10         3297090          322004           46.80           49.56            2.76
 11         3297090          354052           43.70           45.93            2.23
 12         3297090          386767           43.92           46.19            2.27
 13         3297090          418682           42.33           44.10            1.78
 14         3297090          450893           39.55           40.98            1.44
 15         3297090          483025           38.63           40.02            1.39
 16         3297090          514947           36.23           37.27            1.04
 17         3297090          547460           36.44           37.48            1.04
 18         3297090          579098           35.85           36.80            0.95
 19         3297090          610984           34.76           35.62            0.86
 20         3297090          642612           33.41           34.04            0.63
 21         3297090          673678           33.83           34.43            0.60
 22         3297090          704352           32.56           33.12            0.56
 23         3297090          734218           32.72           33.32            0.60
 24         3297090          763717           30.76           31.21            0.45
 25         3297090          792890           31.23           31.66            0.44
 26         3297090          820666           30.63           31.01            0.38
 27         3297090          847577           30.83           31.27            0.44
 28         3297090          874123           29.87           30.22            0.34
 29         3297090          899705           27.93           28.19            0.25
 30         3297090          923970           28.62           28.86            0.24
 31         3297090          947628           28.37           28.63            0.26
 32         3297090          970353           27.06           27.23            0.17
 33         3297090          992130           26.59           26.79            0.20
 34         3297090         1012747           26.01           26.15            0.14
 35         3297090         1032759           26.44           26.59            0.15
 36         3297090         1051562           25.83           25.97            0.14
 37         3297090         1070173           25.64           25.82            0.18
 38         3297090         1087572           26.25           26.44            0.19
 39         3297090         1104344           25.16           25.25            0.09
 40         3297090         1120476           24.45           24.55            0.10
