HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           19312           68.79           79.34           10.55
  4         3297090           25748           64.65           73.02            8.38
  5         3297090           32127           57.39           62.96            5.57
  6         3297090           38710           57.76           63.70            5.94
  7         3297090           44972           54.21           58.91            4.70
  8         3297090           51587           49.07           52.26            3.19
  9         3297090           57846           47.16           50.12            2.96
 10         3297090           64384           46.80           49.62            2.82
 11         3297090           70964           43.70           46.01            2.31
 12         3297090           77475           43.92           46.21            2.28
 13         3297090           83761           42.33           44.25            1.92
 14         3297090           90095           39.55           41.09            1.54
 15         3297090           96509           38.63           40.04            1.41
 16         3297090          102934           36.23           37.31            1.08
 17         3297090          109446           36.44           37.56            1.12
 18         3297090          115816           35.85           36.83            0.99
 19         3297090          122366           34.76           35.69            0.93
 20         3297090          128446           33.41           34.09            0.68
 21         3297090          135041           33.83           34.41            0.58
 22         3297090          141249           32.56           33.13            0.58
 23         3297090          147355           32.72           33.38            0.67
 24         3297090          153328           30.76           31.21            0.44
 25         3297090          159482           31.23           31.70            0.47
 26         3297090          165260           30.63           31.05            0.42
 27         3297090          170754           30.83           31.31            0.48
 28         3297090          176698           29.87           30.21            0.34
 29         3297090          181967           27.93           28.17            0.24
 30         3297090          186906           28.62           28.90            0.29
 31         3297090          191710           28.37           28.67            0.30
 32         3297090          196974           27.06           27.25            0.19
 33         3297090          201678           26.59           26.81            0.21
 34         3297090          205925           26.01           26.16            0.14
 35         3297090          210275           26.44           26.62            0.17
 36         3297090          214695           25.83           25.98            0.15
 37         3297090          218652           25.64           25.83            0.20
 38         3297090          222594           26.25           26.46            0.21
 39         3297090          226342           25.16           25.24            0.08
 40         3297090          229734           24.45           24.57            0.12
