HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090            1961           68.79           79.96           11.17
  4         3297090            2559           64.65           73.22            8.57
  5         3297090            3202           57.39           62.75            5.35
  6         3297090            3844           57.76           63.74            5.98
  7         3297090            4453           54.21           59.01            4.79
  8         3297090            5129           49.07           52.30            3.22
  9         3297090            5783           47.16           50.22            3.06
 10         3297090            6491           46.80           49.47            2.67
 11         3297090            7064           43.70           46.00            2.30
 12         3297090            7771           43.92           46.30            2.38
 13         3297090            8335           42.33           44.09            1.76
 14         3297090            9006           39.55           40.99            1.44
 15         3297090            9645           38.63           39.79            1.16
 16         3297090           10282           36.23           37.30            1.07
 17         3297090           11003           36.44           37.43            0.99
 18         3297090           11538           35.85           36.79            0.94
 19         3297090           12169           34.76           35.72            0.97
 20         3297090           12808           33.41           34.10            0.69
 21         3297090           13481           33.83           34.39            0.56
 22         3297090           14168           32.56           33.00            0.44
 23         3297090           14701           32.72           33.50            0.78
 24         3297090           15353           30.76           31.16            0.39
 25         3297090           15922           31.23           31.69            0.46
 26         3297090           16549           30.63           31.05            0.42
 27         3297090           17012           30.83           31.42            0.59
 28         3297090           17647           29.87           30.17            0.29
 29         3297090           18233           27.93           27.99            0.06
 30         3297090           18657           28.62           29.03            0.41
 31         3297090           19167           28.37           28.65            0.27
 32         3297090           19697           27.06           27.28            0.21
 33         3297090           20287           26.59           26.92            0.33
 34         3297090           20628           26.01           26.13            0.11
 35         3297090           21098           26.44           26.72            0.27
 36         3297090           21542           25.83           25.94            0.11
 37         3297090           21895           25.64           25.84            0.20
 38         3297090           22303           26.25           26.47            0.22
 39         3297090           22600           25.16           25.33            0.17
 40         3297090           22989           24.45           24.51            0.06
