HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           14512           68.79           79.29           10.50
  4         3297090           19354           64.65           72.95            8.31
  5         3297090           24122           57.39           62.90            5.51
  6         3297090           28946           57.76           63.65            5.89
  7         3297090           33690           54.21           58.93            4.72
  8         3297090           38659           49.07           52.25            3.18
  9         3297090           43358           47.16           50.12            2.96
 10         3297090           48268           46.80           49.63            2.83
 11         3297090           53153           43.70           46.05            2.35
 12         3297090           58067           43.92           46.15            2.22
 13         3297090           62826           42.33           44.26            1.94
 14         3297090           67564           39.55           41.11            1.56
 15         3297090           72391           38.63           40.04            1.41
 16         3297090           77250           36.23           37.25            1.02
 17         3297090           82062           36.44           37.53            1.09
 18         3297090           86791           35.85           36.80            0.95
 19         3297090           91770           34.76           35.67            0.91
 20         3297090           96360           33.41           34.09            0.68
 21         3297090          101310           33.83           34.43            0.60
 22         3297090          105980           32.56           33.10            0.55
 23         3297090          110449           32.72           33.37            0.66
 24         3297090          115090           30.76           31.19            0.42
 25         3297090          119626           31.23           31.68            0.45
 26         3297090          123961           30.63           31.03            0.40
 27         3297090          128124           30.83           31.32            0.49
 28         3297090          132584           29.87           30.21            0.34
 29         3297090          136589           27.93           28.15            0.22
 30         3297090          140246           28.62           28.93            0.31
 31         3297090          143808           28.37           28.64            0.27
 32         3297090          147815           27.06           27.26            0.20
 33         3297090          151171           26.59           26.79            0.20
 34         3297090          154412           26.01           26.16            0.14
 35         3297090          157572           26.44           26.64            0.20
 36         3297090          161057           25.83           25.95            0.12
 37         3297090          164050           25.64           25.83            0.19
 38         3297090          167050           26.25           26.46            0.21
 39         3297090          169810           25.16           25.24            0.08
 40         3297090          172377           24.45           24.54            0.09
