HammingWeight  OriginalSamples  FilteredSamples  OriginalNoMod%  FilteredNoMod%  Improvement%
-------------------------------------------------------------------------------------------
  3         3297090           38606           68.79           79.32           10.53
  4         3297090           51498           64.65           73.11            8.47
  5         3297090           64382           57.39           62.84            5.45
  6         3297090           77284           57.76           63.62            5.86
  7         3297090           90009           54.21           58.90            4.69
  8         3297090          103068           49.07           52.30            3.22
  9         3297090          115730           47.16           50.10            2.94
 10         3297090          128719           46.80           49.60            2.80
 11         3297090          141786           43.70           45.95            2.25
 12         3297090          154860           43.92           46.27            2.34
 13         3297090          167461           42.33           44.18            1.86
 14         3297090          180199           39.55           41.02            1.48
 15         3297090          193094           38.63           40.05            1.42
 16         3297090          206023           36.23           37.29            1.06
 17         3297090          218804           36.44           37.54            1.10
 18         3297090          231662           35.85           36.84            0.99
 19         3297090          244575           34.76           35.67            0.91
 20         3297090          257089           33.41           34.05            0.64
 21         3297090          269963           33.83           34.46            0.64
 22         3297090          282425           32.56           33.15            0.60
 23         3297090          294296           32.72           33.37            0.65
 24         3297090          306654           30.76           31.24            0.48
 25         3297090          318657           31.23           31.70            0.47
 26         3297090          329973           30.63           31.06            0.43
 27         3297090          341110           30.83           31.29            0.47
 28         3297090          352682           29.87           30.22            0.35
 29         3297090          363060           27.93           28.19            0.26
 30         3297090          373351           28.62           28.90            0.28
 31         3297090          383213           28.37           28.66            0.29
 32         3297090          393144           27.06           27.26            0.20
 33         3297090          402213           26.59           26.79            0.20
 34         3297090          411178           26.01           26.16            0.15
 35         3297090          419708           26.44           26.61            0.17
 36         3297090          428089           25.83           25.98            0.15
 37         3297090          436023           25.64           25.80            0.16
 38         3297090          443584           26.25           26.47            0.22
 39         3297090          451406           25.16           25.24            0.07
 40         3297090          457921           24.45           24.55            0.10
